age_group,gender,id_drug,name_drug,coadmin,inter,patient,patient-inter,patient.coad
00-04,Female,DB01015,Sulfamethoxazole,4029,46,1389,11,1389
00-04,Female,DB01415,Ceftibuten,392,0,241,0,159
00-04,Female,DB00916,Metronidazole,297,0,367,0,150
00-04,Female,DB00741,Hydrocortisone,218,0,303,0,134
00-04,Female,DB00434,Cyproheptadine,8,0,2,0,2
00-04,Female,DB00086,Streptokinase,49,0,39,0,30
00-04,Female,DB01071,Mequitazine,196,0,169,0,89
00-04,Female,DB01321,Josamycin,1853,0,1470,0,905
00-04,Female,DB00787,Acyclovir,693,0,545,0,311
00-04,Female,DB00641,Simvastatin,111,6,42,1,30
00-04,Female,DB00668,Epinephrine,295,1,161,1,100
00-04,Female,DB00422,Methylphenidate,84,0,57,0,41
00-04,Female,DB00337,Pimecrolimus,432,0,502,0,233
00-04,Female,DB01075,Diphenhydramine,285,0,237,0,146
00-04,Female,DB01147,Cloxacillin,107,0,220,0,70
00-04,Female,DB01592,Iron,573,0,514,0,266
00-04,Female,DB11742,Ebastine,530,0,607,0,285
00-04,Female,DB01416,Cefpodoxime,523,0,428,0,245
00-04,Female,DB00620,Triamcinolone,161,0,100,0,75
00-04,Female,DB00394,Beclomethasone dipropionate,216,0,80,0,74
00-04,Female,DB00332,Ipratropium,2027,0,711,0,614
00-04,Female,DB01234,Dexamethasone,138,1,71,1,48
00-04,Female,DB00215,Citalopram,59,1,25,1,22
00-04,Female,DB13500,Otilonium,125,0,150,0,72
00-04,Female,DB04930,Permethrin,192,0,207,0,111
00-04,Female,DB00338,Omeprazole,831,35,333,20,257
00-04,Female,DB00169,Cholecalciferol,272,0,174,0,100
00-04,Female,DB00391,Sulpiride,29,0,16,0,11
00-04,Female,DB01212,Ceftriaxone,99,0,65,0,44
00-04,Female,DB06723,Aluminum hydroxide,148,0,124,0,73
00-04,Female,DB00852,Pseudoephedrine,27,0,15,0,13
00-04,Female,DB00959,Methylprednisolone,302,1,54,1,45
00-04,Female,DB01628,Etoricoxib,3,0,2,0,1
00-04,Female,DB14585,Plantago ovata seed,44,0,38,0,26
00-04,Female,DB08906,Fluticasone furoate,125,0,87,0,55
00-04,Female,DB00390,Digoxin,30,2,9,2,7
00-04,Female,DB01106,Levocabastine,32,0,27,0,18
00-04,Female,DB00313,Valproic acid,1930,47,228,5,184
00-04,Female,DB04817,Metamizole,341,0,198,0,160
00-04,Female,DB01068,Clonazepam,184,2,36,2,31
00-04,Female,DB13287,Miocamycin,93,0,77,0,46
00-04,Female,DB09214,Dexketoprofen,39,0,30,0,21
00-04,Female,DB00863,Ranitidine,69,0,49,0,31
00-04,Female,DB00030,Insulin human,152,0,40,0,24
00-04,Female,DB00046,Insulin lispro,136,0,25,0,21
00-04,Female,DB00040,Glucagon,67,0,29,0,24
00-04,Female,DB1332,Tetrazepam,73,0,37,0,32
00-04,Female,DB01045,Rifampicin,138,7,57,4,40
00-04,Female,DB00472,Fluoxetine,75,7,27,7,23
00-04,Female,DB00146,Calcifediol,19,0,24,0,14
00-04,Female,DB00590,Doxazosin,11,0,10,0,5
00-04,Female,DB01174,Phenobarbital,159,9,15,2,13
00-04,Female,DB00650,Leucovorin,63,0,17,0,12
00-04,Female,DB00381,Amlodipine,77,0,17,0,17
00-04,Female,DB00584,Enalapril,154,2,51,1,45
00-04,Female,DB00999,Hydrochlorothiazide,58,0,13,0,12
00-04,Female,DB01003,Cromoglicic acid,93,0,32,0,31
00-04,Female,DB00564,Carbamazepine,300,102,33,14,27
00-04,Female,DB00993,Azathioprine,63,0,10,0,10
00-04,Female,DB00951,Isoniazid,141,5,89,5,49
00-04,Female,DB00281,Lidocaine,47,0,99,0,31
00-04,Female,DB11994,Diacerein,6,0,3,0,3
00-04,Female,DB01246,Alimemazine,50,0,41,0,20
00-04,Female,DB00972,Azelastine,48,0,38,0,28
00-04,Female,DB13315,Sobrerol,178,0,128,0,83
00-04,Female,DB00603,Medroxyprogesterone acetate,0,0,2,0,0
00-04,Female,DB06282,Levocetirizine,218,0,233,0,121
00-04,Female,DB01202,Levetiracetam,531,22,42,6,41
00-04,Female,DB13872,Lormetazepam,37,0,21,0,18
00-04,Female,DB00776,Oxcarbazepine,182,0,36,0,32
00-04,Female,DB09089,Trimebutine,95,0,145,0,59
00-04,Female,DB09085,Tetracaine,43,0,49,0,24
00-04,Female,DB01558,Bromazepam,40,0,13,0,12
00-04,Female,DB01328,Cefonicid,164,0,87,0,71
00-04,Female,DB00115,Cyanocobalamin,38,0,23,0,15
00-04,Female,DB00158,Folic acid,187,0,54,0,45
00-04,Female,DB00364,Sucralfate,149,1,100,1,57
00-04,Female,DB13257,Ferrous sulfate anhydrous,102,0,75,0,50
00-04,Female,DB00186,Lorazepam,53,0,28,0,20
00-04,Female,DB00783,Estradiol,48,2,20,2,17
00-04,Female,DB04839,Cyproterone acetate,44,0,15,0,15
00-04,Female,DB00912,Repaglinide,16,2,4,1,3
00-04,Female,DB00331,Metformin,114,0,29,0,26
00-04,Female,DB00335,Atenolol,27,2,6,1,5
00-04,Female,DB00404,Alprazolam,153,5,66,5,56
00-04,Female,DB00571,Propranolol,108,17,12,6,10
00-04,Female,DB01241,Gemfibrozil,15,1,5,1,5
00-04,Female,DB04861,Nebivolol,9,0,5,0,4
00-04,Female,DB00698,Nitrofurantoin,9,0,11,0,6
00-04,Female,DB00763,Methimazole,10,0,8,0,4
00-04,Female,DB00451,Levothyroxine,232,1,94,1,65
00-04,Female,DB01167,Itraconazole,24,5,16,3,11
00-04,Female,DB00945,Acetylsalicylic acid,148,19,62,17,50
00-04,Female,DB09301,Chondroitin sulfate,15,0,8,0,4
00-04,Female,DB00983,Formoterol,139,0,46,0,46
00-04,Female,DB06698,Betahistine,9,0,9,0,6
00-04,Female,DB00412,Rosiglitazone,3,0,1,0,1
00-04,Female,DB01261,Sitagliptin,3,0,2,0,1
00-04,Female,DB00583,Levocarnitine,582,0,34,0,30
00-04,Female,DB00598,Labetalol,2,0,3,0,2
00-04,Female,DB00285,Venlafaxine,37,0,16,0,15
00-04,Female,DB00321,Amitriptyline,19,0,11,0,8
00-04,Female,DB00736,Esomeprazole,98,0,36,0,27
00-04,Female,DB00349,Clobazam,417,0,26,0,24
00-04,Female,DB00370,Mirtazapine,12,1,7,1,6
00-04,Female,DB08938,Magaldrate,6,0,6,0,2
00-04,Female,DB00448,Lansoprazole,161,1,59,1,51
00-04,Female,DB01306,Insulin aspart,105,0,24,0,21
00-04,Female,DB01307,Insulin detemir,46,0,11,0,9
00-04,Female,DB00716,Nedocromil,1,0,3,0,1
00-04,Female,DB01403,Methotrimeprazine,88,0,14,0,9
00-04,Female,DB09323,Benzylpenicillin benzathine hydrate,46,0,38,0,24
00-04,Female,DB00734,Risperidone,61,1,30,1,21
00-04,Female,DB09300,Butylscopolamine,21,0,23,0,13
00-04,Female,DB00537,Ciprofloxacin,59,0,35,0,22
00-04,Female,DB00330,Ethambutol,33,0,7,0,6
00-04,Female,DB01036,Tolterodine,1,0,2,0,1
00-04,Female,DB01059,Norfloxacin,16,0,14,0,11
00-04,Female,DB01120,Gliclazide,29,1,7,1,6
00-04,Female,DB00555,Lamotrigine,270,28,19,2,17
00-04,Female,DB00884,Risedronic acid,10,0,5,0,4
00-04,Female,DB00165,Pyridoxine,5,0,8,0,1
00-04,Female,DB00035,Desmopressin,84,0,55,0,32
00-04,Female,DB00966,Telmisartan,8,1,5,1,4
00-04,Female,DB00213,Pantoprazole,20,0,12,0,9
00-04,Female,DB00904,Ondansetron,38,0,12,0,7
00-04,Female,DB01432,Cholestyramine,7,0,7,0,5
00-04,Female,DB00630,Alendronic acid,48,3,12,3,9
00-04,Female,DB00339,Pyrazinamide,53,0,15,0,13
00-04,Female,DB00273,Topiramate,184,3,18,2,17
00-04,Female,DB08810,Cinitapride,9,0,9,0,5
00-04,Female,DB00836,Loperamide,101,0,67,0,39
00-04,Female,DB13425,Flutrimazole,0,0,3,0,0
00-04,Female,DB00687,Fludrocortisone,54,0,5,0,4
00-04,Female,DB08985,Etilefrine,3,0,3,0,2
00-04,Female,DB01062,Oxybutynin,21,1,16,1,7
00-04,Female,DB00254,Doxycycline,3,0,13,0,2
00-04,Female,DB00612,Bisoprolol,25,3,8,3,8
00-04,Female,DB01026,Ketoconazole,23,1,34,1,17
00-04,Female,DB00304,Desogestrel,18,0,31,0,15
00-04,Female,DB01175,Escitalopram,34,0,21,0,14
00-04,Female,DB01418,Acenocoumarol,25,6,11,4,8
00-04,Female,DB00289,Atomoxetine,9,0,5,0,4
00-04,Female,DB00121,Biotin,51,0,22,0,13
00-04,Female,DB00047,Insulin glargine,57,0,17,0,15
00-04,Female,DB09320,Procaine benzylpenicillin,29,0,18,0,17
00-04,Female,DB00346,Alfuzosin,7,0,1,0,1
00-04,Female,DB01076,Atorvastatin,15,0,7,0,6
00-04,Female,DB13124,Troxerutin,15,0,9,0,6
00-04,Female,DB00710,Ibandronate,1,0,1,0,1
00-04,Female,DB00421,Spironolactone,51,4,9,2,6
00-04,Female,DB00367,Levonorgestrel,7,0,4,0,4
00-04,Female,DB00977,Ethinylestradiol,7,0,4,0,4
00-04,Female,DB06145,Spiramycin,10,0,7,0,5
00-04,Female,DB01097,Leflunomide,13,0,3,0,3
00-04,Female,DB11348,Calcium Phosphate,32,0,25,0,16
00-04,Female,DB00334,Olanzapine,8,0,5,0,3
00-04,Female,DB01436,Alfacalcidol,35,0,5,0,5
00-04,Female,DB00678,Losartan,56,0,12,0,10
00-04,Female,DB01115,Nifedipine,20,0,5,0,5
00-04,Female,DB09069,Trimetazidine,14,0,4,0,4
00-04,Female,DB01421,Paromomycin,6,0,5,0,4
00-04,Female,DB00196,Fluconazole,31,1,23,1,12
00-04,Female,DB00066,Follitropin,1,0,1,0,1
00-04,Female,DB00097,Choriogonadotropin alfa,1,0,1,0,1
00-04,Female,DB00563,Methotrexate,374,133,48,21,34
00-04,Female,DB00214,Torasemide,21,3,5,3,5
00-04,Female,DB01095,Fluvastatin,3,0,3,0,1
00-04,Female,DB00953,Rizatriptan,10,0,7,0,7
00-04,Female,DB01131,Proguanil,19,0,10,0,6
00-04,Female,DB01242,Clomipramine,7,0,4,0,4
00-04,Female,DB00437,Allopurinol,8,0,6,0,4
00-04,Female,DB13365,Calcium lactate gluconate,16,0,5,0,4
00-04,Female,DB13490,Hidrosmin,8,0,3,0,3
00-04,Female,DB01356,Lithium cation,11,2,4,2,4
00-04,Female,DB00162,Vitamin A,1,0,3,0,1
00-04,Female,DB00372,Thiethylperazine,5,0,2,0,2
00-04,Female,DB01190,Clindamycin,10,0,10,0,7
00-04,Female,DB00152,Thiamine,6,0,3,0,2
00-04,Female,DB00918,Almotriptan,9,0,4,0,3
00-04,Female,DB01197,Captopril,46,2,6,1,6
00-04,Female,DB00857,Terbinafine,11,0,15,0,3
00-04,Female,DB00881,Quinapril,8,0,1,0,1
00-04,Female,DB01016,Glyburide,23,3,3,2,3
00-04,Female,DB00695,Furosemide,10,0,4,0,3
00-04,Female,DB00950,Fexofenadine,3,0,1,0,1
00-04,Female,DB00808,Indapamide,22,0,6,0,5
00-04,Female,DB09285,Morniflumate,41,0,30,0,23
00-04,Female,DB00302,Tranexamic acid,5,0,11,0,4
00-04,Female,DB13434,Fenticonazole,9,0,9,0,5
00-04,Female,DB01609,Deferasirox,31,0,4,0,4
00-04,Female,DB01137,Levofloxacin,10,0,8,0,5
00-04,Female,DB09070,Tibolone,6,0,3,0,2
00-04,Female,DB00810,Biperiden,4,0,1,0,1
00-04,Female,DB04573,Estriol,7,1,13,1,4
00-04,Female,DB00722,Lisinopril,1,0,3,0,1
00-04,Female,DB08995,Diosmin,22,0,12,0,10
00-04,Female,DB00513,Aminocaproic acid,13,0,10,0,7
00-04,Female,DB00822,Disulfiram,11,0,3,0,2
00-04,Female,DB00091,Cyclosporine,34,19,4,3,3
00-04,Female,DB00423,Methocarbamol,3,0,1,0,1
00-04,Female,DB00758,Clopidogrel,1,0,2,0,1
00-04,Female,DB01033,Mercaptopurine,143,0,11,0,11
00-04,Female,DB00181,Baclofen,95,0,7,0,7
00-04,Female,DB11251,Tocopherol,86,0,7,0,5
00-04,Female,DB00244,Mesalazine,12,0,9,0,7
00-04,Female,DB00554,Piroxicam,1,0,1,0,1
00-04,Female,DB06594,Agomelatine,3,0,1,0,1
00-04,Female,DB09275,Bismuth subcitrate potassium,16,0,8,0,8
00-04,Female,DB01022,Phylloquinone,143,0,9,0,7
00-04,Female,DB00690,Flurazepam,1,0,1,0,1
00-04,Female,DB00608,Chloroquine,8,0,5,0,4
00-04,Female,DB00909,Zonisamide,124,0,4,0,4
00-04,Female,DB00248,Cabergoline,8,1,7,1,4
00-04,Female,DB01080,Vigabatrin,143,0,15,0,12
00-04,Female,DB12153,Citicoline,75,0,3,0,3
00-04,Female,DB00745,Modafinil,10,0,1,0,1
00-04,Female,DB09210,Piracetam,15,0,2,0,2
00-04,Female,DB00994,Neomycin,2,0,1,0,1
00-04,Female,DB02703,Fusidic acid,6,0,5,0,3
00-04,Female,DB00996,Gabapentin,2,0,2,0,1
00-04,Female,DB00528,Lercanidipine,4,0,2,0,2
00-04,Female,DB01029,Irbesartan,38,0,10,0,9
00-04,Female,DB13919,Candesartan,5,0,2,0,2
00-04,Female,DB01039,Fenofibrate,10,0,7,0,6
00-04,Female,DB00315,Zolmitriptan,2,0,3,0,2
00-04,Female,DB04876,Vildagliptin,4,0,1,0,1
00-04,Female,DB00801,Halazepam,6,0,3,0,2
00-04,Female,DB09213,Dexibuprofen,3,0,2,0,2
00-04,Female,DB00264,Metoprolol,2,0,1,0,1
00-04,Female,DB01023,Felodipine,3,0,2,0,2
00-04,Female,DB00540,Nortriptyline,4,1,2,1,2
00-04,Female,DB00501,Cimetidine,2,0,3,0,1
00-04,Female,DB00136,Calcitriol,7,0,7,0,4
00-04,Female,DB00283,Clemastine,11,0,4,0,3
00-04,Female,DB01296,Glucosamine,21,0,7,0,6
00-04,Female,DB00222,Glimepiride,3,0,1,0,1
00-04,Female,DB00924,Cyclobenzaprine,18,0,9,0,8
00-04,Female,DB00415,Ampicillin,7,0,9,0,4
00-04,Female,DB00477,Chlorpromazine,3,0,1,0,1
00-04,Female,DB01126,Dutasteride,2,0,2,0,1
00-04,Female,DB00476,Duloxetine,14,0,6,0,4
00-04,Female,DB00376,Trihexyphenidyl,16,0,4,0,3
00-04,Female,DB01066,Cefditoren,10,0,3,0,3
00-04,Female,DB00178,Ramipril,1,0,1,0,1
00-04,Female,DB00230,Pregabalin,23,0,8,0,7
00-04,Female,DB00656,Trazodone,13,0,4,0,3
00-04,Female,DB01624,Zuclopenthixol,1,0,1,0,1
00-04,Female,DB01224,Quetiapine,0,0,2,0,0
00-04,Female,DB00798,Gentamicin,6,0,6,0,3
00-04,Female,DB00482,Celecoxib,4,0,2,0,2
00-04,Female,DB00177,Valsartan,21,0,9,0,7
00-04,Female,DB00813,Fentanyl,3,0,2,0,2
00-04,Female,DB00647,Dextropropoxyphene,4,0,1,0,1
00-04,Female,DB01591,Solifenacin,1,0,2,0,1
00-04,Female,DB00252,Phenytoin,9,3,4,2,4
00-04,Female,DB06825,Triptorelin,4,0,3,0,1
00-04,Female,DB06724,Calcium carbonate,9,0,6,0,4
00-04,Female,DB01104,Sertraline,39,0,12,0,12
00-04,Female,DB00859,Penicillamine,12,0,3,0,3
00-04,Female,DB00568,Cinnarizine,4,0,1,0,1
00-04,Female,DB00727,Nitroglycerin,4,0,3,0,2
00-04,Female,DB01580,Oxprenolol,0,0,1,0,0
00-04,Female,DB01608,Periciazine,2,0,1,0,1
00-04,Female,DB00761,Potassium chloride,2,0,2,0,1
00-04,Female,DB00814,Meloxicam,12,0,3,0,3
00-04,Female,DB01611,Hydroxychloroquine,5,0,2,0,2
00-04,Female,DB00396,Progesterone,5,0,7,0,3
00-04,Female,DB01195,Flecainide,1,0,2,0,1
00-04,Female,DB00227,Lovastatin,8,0,3,0,1
00-04,Female,DB00973,Ezetimibe,15,0,2,0,2
00-04,Female,DB01136,Carvedilol,13,2,3,1,3
00-04,Female,DB00328,Indomethacin,5,0,3,0,2
00-04,Female,DB01586,Ursodeoxycholic acid,95,1,7,1,6
00-04,Female,DB09389,Norgestrel,3,0,1,0,1
00-04,Female,DB06822,Tinzaparin,0,0,1,0,0
00-04,Female,DB00284,Acarbose,3,0,2,0,1
00-04,Female,DB00911,Tinidazole,6,0,5,0,3
00-04,Female,DB00706,Tamsulosin,3,0,2,0,2
00-04,Female,DB06779,Dalteparin,1,0,1,0,1
00-04,Female,DB01098,Rosuvastatin,17,0,1,0,1
00-04,Female,DB01067,Glipizide,12,0,1,0,1
00-04,Female,DB11596,Levoleucovorin,12,0,1,0,1
00-04,Female,DB01267,Paliperidone,6,0,1,0,1
00-04,Female,DB00661,Verapamil,2,0,3,0,2
00-04,Female,DB13510,Buflomedil,0,0,1,0,0
00-04,Female,DB01017,Minocycline,5,3,4,3,3
00-04,Female,DB01409,Tiotropium,8,0,2,0,2
00-04,Female,DB01053,Benzylpenicillin,5,0,2,0,1
00-04,Female,DB00998,Frovatriptan,2,0,1,0,1
00-04,Female,DB00696,Ergotamine,0,0,1,0,0
00-04,Female,DB00425,Zolpidem,11,0,6,0,4
00-04,Female,DB06218,Lacosamide,21,0,3,0,3
00-04,Female,DB00007,Leuprolide,0,0,1,0,0
00-04,Female,DB01203,Nadolol,1,0,1,0,1
00-04,Female,DB01238,Aripiprazole,7,0,2,0,2
00-04,Female,DB00234,Reboxetine,2,0,1,0,1
00-04,Female,DB00343,Diltiazem,6,0,2,0,2
00-04,Female,DB06470,Clomethiazole,3,0,1,0,1
00-04,Female,DB04841,Flunarizine,33,0,5,0,3
00-04,Female,DB13643,Loprazolam,2,0,1,0,1
00-04,Female,DB00684,Tobramycin,0,0,1,0,0
00-04,Female,DB00277,Theophylline,2,0,1,0,1
00-04,Female,DB00697,Tizanidine,5,0,2,0,2
00-04,Female,DB00175,Pravastatin,5,0,2,0,2
00-04,Female,DB11783,Imidapril,1,0,1,0,1
00-04,Female,DB06725,Lornoxicam,1,0,1,0,1
00-04,Female,DB01544,Flunitrazepam,23,0,2,0,1
00-04,Female,DB00675,Tamoxifen,0,0,3,0,0
00-04,Female,DB00795,Sulfasalazine,4,0,1,0,1
00-04,Female,DB00413,Pramipexole,1,0,1,0,1
00-04,Female,DB01129,Rabeprazole,6,0,3,0,2
00-04,Female,DB04844,Tetrabenazine,0,0,1,0,0
00-04,Female,DB00275,Olmesartan,10,0,4,0,4
00-04,Female,DB00291,Chlorambucil,4,0,1,0,1
00-04,Female,DB01200,Bromocriptine,1,0,1,0,1
00-04,Female,DB01024,Mycophenolic acid,56,0,3,0,3
00-04,Female,DB01275,Hydralazine,2,0,1,0,1
00-04,Female,DB14719,Bentazepam,5,0,1,0,1
00-04,Female,DB01381,Ginkgo biloba,1,0,2,0,1
00-04,Female,DB00491,Miglitol,1,0,2,0,1
00-04,Female,DB00499,Flutamide,4,0,1,0,1
00-04,Female,DB00624,Testosterone,2,0,1,0,1
00-04,Female,DB13169,Nandrolone,2,0,1,0,1
00-04,Female,DB00593,Ethosuximide,12,0,2,0,2
00-04,Female,DB01393,Bezafibrate,0,0,1,0,0
00-04,Female,DB00669,Sumatriptan,0,0,1,0,0
00-04,Female,DB01009,Ketoprofen,1,0,1,0,1
00-04,Female,DB00683,Midazolam,0,0,1,0,0
00-04,Female,DB01162,Terazosin,1,0,1,0,1
00-04,Female,DB14360,Saw palmetto,1,0,1,0,1
00-04,Female,DB13803,Xipamide,2,0,1,0,1
00-04,Female,DB11098,Potassium bicarbonate,2,0,2,0,1
00-04,Female,DB06718,Stanozolol,3,0,1,0,1
00-04,Female,DB00567,Cephalexin,4,0,1,0,1
00-04,Female,DB00209,Trospium,0,0,1,0,0
00-04,Female,DB01118,Amiodarone,3,0,1,0,1
00-04,Female,DB00426,Famciclovir,3,0,3,0,3
00-04,Female,DB00353,Methylergometrine,1,0,1,0,1
00-04,Female,DB00952,Naratriptan,4,0,1,0,1
00-04,Female,DB01587,Ketazolam,4,0,3,0,3
00-04,Female,DB00622,Nicardipine,3,0,2,0,1
00-04,Female,DB00545,Pyridostigmine,5,0,1,0,1
00-04,Female,DB01006,Letrozole,5,0,1,0,1
00-04,Female,DB13345,Dihydroergocristine,4,0,3,0,2
00-04,Female,DB01156,Bupropion,2,0,1,0,1
00-04,Female,DB00492,Fosinopril,7,0,1,0,1
00-04,Female,DB00261,Anagrelide,1,0,1,0,1
00-04,Female,DB13529,Dobesilic acid,0,0,1,0,0
00-04,Female,DB00519,Trandolapril,1,0,1,0,1
00-04,Female,DB00518,Albendazole,0,0,1,0,0
00-04,Female,DB06148,Mianserin,3,0,1,0,1
00-04,Female,DB00310,Chlorthalidone,4,0,1,0,1
00-04,Female,DB01309,Insulin glulisine,3,0,1,0,1
00-04,Female,DB00320,Dihydroergotamine,3,0,1,0,1
00-04,Female,DB00877,Sirolimus,41,0,1,0,1
00-04,Male,DB00316,Acetaminophen,84827,8,35561,8,29070
00-04,Male,DB01050,Ibuprofen,122161,36,48928,28,38855
00-04,Male,DB01060,Amoxicillin,113269,17,54553,15,37395
00-04,Male,DB09002,Cloperastine,36840,0,24778,0,15202
00-04,Male,DB00318,Codeine,6308,0,4521,0,2863
00-04,Male,DB00455,Loratadine,4128,0,3595,0,1955
00-04,Male,DB00557,Hydroxyzine,9048,0,11814,0,5246
00-04,Male,DB00591,Fluocinolone acetonide,351,0,416,0,193
00-04,Male,DB00833,Cefaclor,1004,0,882,0,494
00-04,Male,DB00967,Desloratadine,6704,0,4722,0,2716
00-04,Male,DB01112,Cefuroxime,9831,0,6961,0,4278
00-04,Male,DB01212,Ceftriaxone,101,0,72,0,53
00-04,Male,DB06742,Ambroxol,21549,0,14509,0,9366
00-04,Male,DB13810,Dimemorfan,7710,0,6404,0,3665
00-04,Male,DB00983,Formoterol,135,0,46,0,43
00-04,Male,DB00860,Prednisolone,38739,25,16300,16,12070
00-04,Male,DB00920,Ketotifen,1484,0,520,0,369
00-04,Male,DB01001,Salbutamol,62771,15,22190,9,17459
00-04,Male,DB00207,Azithromycin,16496,0,9565,0,6293
00-04,Male,DB00514,Dextromethorphan,11571,5,9527,5,5649
00-04,Male,DB06151,Acetylcysteine,11310,0,7396,0,4943
00-04,Male,DB00471,Montelukast,17965,0,3605,0,2880
00-04,Male,DB01222,Budesonide,31513,3,9668,3,8057
00-04,Male,DB13679,Dexchlorpheniramine,5769,0,7394,0,3257
00-04,Male,DB00871,Terbutaline,3266,0,2430,0,1595
00-04,Male,DB00332,Ipratropium,3410,0,1044,0,903
00-04,Male,DB11921,Deflazacort,1895,0,1091,0,753
00-04,Male,DB00938,Salmeterol,5532,3,941,1,835
00-04,Male,DB13867,Fluticasone,8052,0,1670,0,1440
00-04,Male,DB01211,Clarithromycin,6315,18,4388,17,2850
00-04,Male,DB00440,Trimethoprim,3701,32,1406,12,1268
00-04,Male,DB01015,Sulfamethoxazole,3631,40,1234,14,1234
00-04,Male,DB00388,Phenylephrine,8451,1,6618,1,3958
00-04,Male,DB11742,Ebastine,681,0,659,0,331
00-04,Male,DB01175,Escitalopram,68,0,31,0,23
00-04,Male,DB01587,Ketazolam,23,2,8,2,7
00-04,Male,DB04339,Carbocisteine,9898,0,7271,0,4581
00-04,Male,DB00158,Folic acid,215,0,58,0,40
00-04,Male,DB00341,Cetirizine,2037,0,1625,0,892
00-04,Male,DB06691,Mepyramine,783,0,570,0,393
00-04,Male,DB12472,Levodropropizine,1917,0,1662,0,943
00-04,Male,DB06174,Noscapine,2481,0,1425,0,1015
00-04,Male,DB11696,Racecadotril,1665,0,1850,0,852
