ATC	Name	DrugBankID	ChemicalSubgroups	PharmacologicalSubgroup	TherapeuticSubgroup	Dispensations	WomenDispensations	MenDispensations	NameSource	IDSource
A02BC01	Omeprazole	DB00338	Proton pump inhibitors	Drugs for peptic ulcer and gastro-oesophageal reflux diseases (gord)	Drugs for acid related disorders	2642291	1461241	1181050	DrugBank	DrugBank
A02BC02	Pantoprazole	DB00213	Proton pump inhibitors	Drugs for peptic ulcer and gastro-oesophageal reflux diseases (gord)	Drugs for acid related disorders	262524	149025	113499	DrugBank	DrugBank
A02BC03	Lansoprazole	DB00448	Proton pump inhibitors	Drugs for peptic ulcer and gastro-oesophageal reflux diseases (gord)	Drugs for acid related disorders	155347	93966	61381	DrugBank	DrugBank
A02BC04	Rabeprazole	DB01129	Proton pump inhibitors	Drugs for peptic ulcer and gastro-oesophageal reflux diseases (gord)	Drugs for acid related disorders	106479	64846	41633	DrugBank	DrugBank
A02BC05	Esomeprazole	DB00736	Proton pump inhibitors	Drugs for peptic ulcer and gastro-oesophageal reflux diseases (gord)	Drugs for acid related disorders	107752	65928	41824	DrugBank	DrugBank
A02BD08	Bismuth subcitrate, tetracycline and metronidazole	DB00759	Combinations for eradication of Helicobacter pylori	Drugs for peptic ulcer and gastro-oesophageal reflux diseases (gord)	Drugs for acid related disorders	15859	10602	5257	DrugBank-corrected	DrugBank
A02BD08	Bismuth subcitrate, tetracycline and metronidazole	DB00916	Combinations for eradication of Helicobacter pylori	Drugs for peptic ulcer and gastro-oesophageal reflux diseases (gord)	Drugs for acid related disorders	15859	10602	5257	DrugBank-corrected	DrugBank
A02BD08	Bismuth subcitrate, tetracycline and metronidazole	DB09275	Combinations for eradication of Helicobacter pylori	Drugs for peptic ulcer and gastro-oesophageal reflux diseases (gord)	Drugs for acid related disorders	15859	10602	5257	DrugBank-corrected	DrugBank
A02BX02	Sucralfate	DB00364	Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)	Drugs for peptic ulcer and gastro-oesophageal reflux diseases (gord)	Drugs for acid related disorders	33466	20315	13151	DrugBank	DrugBank
A02BX05	Bismuth Subcitrate	DB09275	Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)	Drugs for peptic ulcer and gastro-oesophageal reflux diseases (gord)	Drugs for acid related disorders	7388	4915	2473	DrugBank	DrugBank
A02BX91			Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)	Drugs for peptic ulcer and gastro-oesophageal reflux diseases (gord)	Drugs for acid related disorders	3896	2464	1432		
A03AA04	Mebeverine	DB12554	Synthetic anticholinergics, esters with tertiary amino group	Drugs for functional gastrointestinal disorders	Drugs for functional gastrointestinal disorders	36535	24339	12196	DrugBank	DrugBank
A03AA05	Trimebutine	DB09089	Synthetic anticholinergics, esters with tertiary amino group	Drugs for functional gastrointestinal disorders	Drugs for functional gastrointestinal disorders	11629	6929	4700	DrugBank	DrugBank
A03AB06	Otilonium	DB13500	Synthetic anticholinergics, quaternary ammonium compounds	Drugs for functional gastrointestinal disorders	Drugs for functional gastrointestinal disorders	142123	89774	52349	DrugBank	DrugBank
A03AX04	Pinaverium	DB09090	Other drugs for functional gastrointestinal disorders	Drugs for functional gastrointestinal disorders	Drugs for functional gastrointestinal disorders	9704	6570	3134	DrugBank	DrugBank
A03AX13	Silicones		Other drugs for functional gastrointestinal disorders	Drugs for functional gastrointestinal disorders	Drugs for functional gastrointestinal disorders	2	0	2	WHOCC	
A03BA01	Atropine	DB00572	Belladonna alkaloids, tertiary amines	Belladonna and derivatives, plain	Drugs for functional gastrointestinal disorders	150	88	62	DrugBank	DrugBank
A03BB01	Butylscopolamine	DB09300	Belladonna alkaloids, semisynthetic, quaternary ammonium compounds	Belladonna and derivatives, plain	Drugs for functional gastrointestinal disorders	321894	199074	122820	DrugBank	DrugBank
A03DB04	Butylscopolamine and analgesics	DB09300	Belladonna and derivatives in combination with analgesics	Antispasmodics in combination with analgesics	Drugs for functional gastrointestinal disorders	1	0	1	DrugBank-corrected	DrugBank
A03FA01	Metoclopramide	DB01233	Propulsives	Propulsives	Drugs for functional gastrointestinal disorders	585258	367747	217511	DrugBank	DrugBank
A03FA02	Cisapride	DB00604	Propulsives	Propulsives	Drugs for functional gastrointestinal disorders	1	1	0	DrugBank	DrugBank
A03FA03	Domperidone	DB01184	Propulsives	Propulsives	Drugs for functional gastrointestinal disorders	581988	368444	213544	DrugBank	DrugBank
A03FA06	Clebopride	DB13511	Propulsives	Propulsives	Drugs for functional gastrointestinal disorders	24870	15726	9144	WHOCC	DrugBankWeb
A03FA08	Cinitapride	DB08810	Propulsives	Propulsives	Drugs for functional gastrointestinal disorders	180636	119763	60873	WHOCC	DrugBankWeb
A03FA51			Propulsives	Propulsives	Drugs for functional gastrointestinal disorders	36948	23323	13625		
A03FA56			Propulsives	Propulsives	Drugs for functional gastrointestinal disorders	221741	142216	79525		
A04AA01	Ondansetron	DB00904	Serotonin (5HT3) antagonists	Antiemetics and antinauseants	Antiemetics and antinauseants	26006	15902	10104	DrugBank	DrugBank
A04AA02	Granisetron	DB00889	Serotonin (5HT3) antagonists	Antiemetics and antinauseants	Antiemetics and antinauseants	3576	2132	1444	DrugBank	DrugBank
A04AA03	Tropisetron	DB11699	Serotonin (5HT3) antagonists	Antiemetics and antinauseants	Antiemetics and antinauseants	78	53	25	DrugBank	DrugBank
A04AD12	Aprepitant	DB00673	Other antiemetics	Antiemetics and antinauseants	Antiemetics and antinauseants	23	13	10	DrugBank	DrugBank
A04AD97			Other antiemetics	Antiemetics and antinauseants	Antiemetics and antinauseants	80394	54636	25758		
A05AA01	Chenodeoxycholic acid	DB06777	Bile acid preparations	Bile therapy	Bile and liver therapy	44	29	15	DrugBank	DrugBank
A05AA02	Ursodeoxycholic acid	DB01586	Bile acid preparations	Bile therapy	Bile and liver therapy	23460	14974	8486	DrugBank	DrugBank
A05BA03	Silymarin		Liver therapy	Liver therapy, lipotropics	Bile and liver therapy	1699	869	830	WHOCC	
A06AC01	Ispaghula	DB14585	Bulk-forming laxatives	Drugs for constipation	Drugs for constipation	279972	182148	97824	WHOCC	DrugBankWeb
A06AD11	Lactulose	DB00581	Osmotically acting laxatives	Drugs for constipation	Drugs for constipation	223261	138410	84851	DrugBank	DrugBank
A06AD12	Lactitol	DB12942	Osmotically acting laxatives	Drugs for constipation	Drugs for constipation	96899	60821	36078	DrugBank	DrugBank
A06AD65	Polyethylene glycol	DB09287	Osmotically acting laxatives	Drugs for constipation	Drugs for constipation	2	1	1	DrugBank	DrugBank
A06AH01	Methylnaltrexone	DB06800	Peripheral opioid receptor antagonists	Drugs for constipation	Drugs for constipation	59	17	42	DrugBank	DrugBank
A06AH03	Naloxegol	DB09049	Peripheral opioid receptor antagonists	Drugs for constipation	Drugs for constipation	346	149	197	DrugBank	DrugBank
A06AX04	Linaclotide	DB08890	Other drugs for constipation	Drugs for constipation	Drugs for constipation	1933	1643	290	DrugBank	DrugBank
A06AX05	Prucalopride	DB06480	Other drugs for constipation	Drugs for constipation	Drugs for constipation	31	29	2	DrugBank	DrugBank
A07AA01	Neomycin	DB00994	Antibiotics	Intestinal antiinfectives	Antidiarrheals, intestinal antiinflammatory/antiinfective agents	406	184	222	DrugBank	DrugBank
A07AA02	Nystatin	DB00646	Antibiotics	Intestinal antiinfectives	Antidiarrheals, intestinal antiinflammatory/antiinfective agents	285819	178011	107808	DrugBank	DrugBank
A07AA06	Paromomycin	DB01421	Antibiotics	Intestinal antiinfectives	Antidiarrheals, intestinal antiinflammatory/antiinfective agents	972	523	449	DrugBank	DrugBank
A07AA11	Rifaximin	DB01220	Antibiotics	Intestinal antiinfectives	Antidiarrheals, intestinal antiinflammatory/antiinfective agents	45068	27910	17158	DrugBank	DrugBank
A07BA01	Activated charcoal	DB09278	Charcoal preparations	Intestinal adsorbents	Antidiarrheals, intestinal antiinflammatory/antiinfective agents	123	59	64	DrugBank	DrugBank
A07CA91			Oral rehydration salt formulations	Electrolytes with carbohydrates	Antidiarrheals, intestinal antiinflammatory/antiinfective agents	501228	278142	223086		
A07DA03	Loperamide	DB00836	Antipropulsives	Antipropulsives	Antidiarrheals, intestinal antiinflammatory/antiinfective agents	153765	85756	68009	DrugBank	DrugBank
A07EA06	Budesonide	DB01222	Corticosteroids acting locally	Intestinal antiinflammatory agents	Antidiarrheals, intestinal antiinflammatory/antiinfective agents	8594	4974	3620	DrugBank	DrugBank
A07EA07	Beclometasone	DB00394	Corticosteroids acting locally	Intestinal antiinflammatory agents	Antidiarrheals, intestinal antiinflammatory/antiinfective agents	3871	1978	1893	DrugBank-corrected	DrugBank
A07EA91			Corticosteroids acting locally	Intestinal antiinflammatory agents	Antidiarrheals, intestinal antiinflammatory/antiinfective agents	4965	2367	2598		
A07EB01	Cromoglicic acid	DB01003	Antiallergic agents, excl. corticosteroids	Intestinal antiinflammatory agents	Antidiarrheals, intestinal antiinflammatory/antiinfective agents	1	0	1	DrugBank	DrugBank
A07EC01	Sulfasalazine	DB00795	Aminosalicylic acid and similar agents	Intestinal antiinflammatory agents	Antidiarrheals, intestinal antiinflammatory/antiinfective agents	5648	3079	2569	DrugBank	DrugBank
A07EC02	Mesalazine	DB00244	Aminosalicylic acid and similar agents	Intestinal antiinflammatory agents	Antidiarrheals, intestinal antiinflammatory/antiinfective agents	27747	14107	13640	DrugBank	DrugBank
A07XA04	Racecadotril	DB11696	Other antidiarrheals	Other antidiarrheals	Antidiarrheals, intestinal antiinflammatory/antiinfective agents	72691	39350	33341	DrugBank	DrugBank
A09AA02	Pancrelipase	DB00085	Enzyme preparations	Digestives, incl. enzymes	Digestives, incl. enzymes	7804	3253	4551	DrugBank	DrugBank
A10AB01	Insulin Human	DB00030	Insulins and analogues for injection, fast-acting	Insulins and analogues	Drugs used in diabetes	25613	13314	12299	DrugBank	DrugBank
A10AB04	Insulin Lispro	DB00046	Insulins and analogues for injection, fast-acting	Insulins and analogues	Drugs used in diabetes	15786	7936	7850	DrugBank	DrugBank
A10AB05	Insulin Aspart	DB01306	Insulins and analogues for injection, fast-acting	Insulins and analogues	Drugs used in diabetes	43161	21551	21610	DrugBank	DrugBank
A10AB06	Insulin Glulisine	DB01309	Insulins and analogues for injection, fast-acting	Insulins and analogues	Drugs used in diabetes	10206	4738	5468	DrugBank	DrugBank
A10AC01	Insulin Human	DB00030	Insulins and analogues for injection, intermediate-acting	Insulins and analogues	Drugs used in diabetes	53140	28455	24685	DrugBank	DrugBank
A10AC04	Insulin Lispro	DB00046	Insulins and analogues for injection, intermediate-acting	Insulins and analogues	Drugs used in diabetes	4289	2169	2120	DrugBank	DrugBank
A10AD01	Insulin Human	DB00030	Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting	Insulins and analogues	Drugs used in diabetes	15101	8170	6931	DrugBank	DrugBank
A10AD04	Insulin Lispro	DB00046	Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting	Insulins and analogues	Drugs used in diabetes	13207	6637	6570	DrugBank	DrugBank
A10AD05	Insulin Aspart	DB01306	Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting	Insulins and analogues	Drugs used in diabetes	25933	12818	13115	DrugBank	DrugBank
A10AE01	Insulin Human	DB00030	Insulins and analogues for injection, long-acting	Insulins and analogues	Drugs used in diabetes	1	0	1	DrugBank	DrugBank
A10AE04	Insulin Glargine	DB00047	Insulins and analogues for injection, long-acting	Insulins and analogues	Drugs used in diabetes	122479	56596	65883	DrugBank	DrugBank
A10AE05	Insulin Detemir	DB01307	Insulins and analogues for injection, long-acting	Insulins and analogues	Drugs used in diabetes	32520	17340	15180	DrugBank	DrugBank
A10AE06	Insulin Degludec	DB09564	Insulins and analogues for injection, long-acting	Insulins and analogues	Drugs used in diabetes	5404	2734	2670	DrugBank	DrugBank
A10AF01	Insulin Human	DB00030	Insulins and analogues for inhalation	Insulins and analogues	Drugs used in diabetes	33	12	21	DrugBank	DrugBank
A10BA02	Metformin	DB00331	Biguanides	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	477098	222817	254281	DrugBank	DrugBank
A10BA03	Buformin	DB04830	Biguanides	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	2	1	1	DrugBank	DrugBank
A10BB01	Glyburide	DB01016	Sulfonamides, urea derivatives	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	75639	35998	39641	DrugBank	DrugBank
A10BB02	Chlorpropamide	DB00672	Sulfonamides, urea derivatives	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	322	184	138	DrugBank	DrugBank
A10BB07	Glipizide	DB01067	Sulfonamides, urea derivatives	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	5904	2948	2956	DrugBank	DrugBank
A10BB08	Gliquidone	DB01251	Sulfonamides, urea derivatives	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	974	513	461	DrugBank	DrugBank
A10BB09	Gliclazide	DB01120	Sulfonamides, urea derivatives	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	136134	62803	73331	DrugBank	DrugBank
A10BB12	Glimepiride	DB00222	Sulfonamides, urea derivatives	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	38402	17849	20553	DrugBank	DrugBank
A10BB91			Sulfonamides, urea derivatives	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	239	118	121		
A10BD03	Metformin and rosiglitazone	DB00331	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	5094	2407	2687	DrugBank-corrected	DrugBank
A10BD03	Metformin and rosiglitazone	DB00412	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	5094	2407	2687	DrugBank-corrected	DrugBank
A10BD04	Glimepiride and rosiglitazone	DB00222	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	778	364	414	DrugBank-corrected	DrugBank
A10BD04	Glimepiride and rosiglitazone	DB00412	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	778	364	414	DrugBank-corrected	DrugBank
A10BD05	Metformin and pioglitazone	DB00331	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	3069	1356	1713	DrugBank-corrected	DrugBank
A10BD05	Metformin and pioglitazone	DB01132	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	3069	1356	1713	DrugBank-corrected	DrugBank
A10BD06	Glimepiride and pioglitazone	DB00222	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	155	71	84	DrugBank-corrected	DrugBank
A10BD06	Glimepiride and pioglitazone	DB01132	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	155	71	84	DrugBank-corrected	DrugBank
A10BD07	Metformin and sitagliptin	DB00331	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	65252	27745	37507	DrugBank-corrected	DrugBank
A10BD07	Metformin and sitagliptin	DB01261	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	65252	27745	37507	DrugBank-corrected	DrugBank
A10BD08	Metformin and vildagliptin	DB00331	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	35793	15688	20105	DrugBank-corrected	DrugBank
A10BD08	Metformin and vildagliptin	DB04876	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	35793	15688	20105	DrugBank-corrected	DrugBank
A10BD09	Pioglitazone and alogliptin	DB01132	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	350	175	175	DrugBank-corrected	DrugBank
A10BD09	Pioglitazone and alogliptin	DB06203	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	350	175	175	DrugBank-corrected	DrugBank
A10BD10	Metformin and saxagliptin	DB00331	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	1115	501	614	DrugBank-corrected	DrugBank
A10BD10	Metformin and saxagliptin	DB06335	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	1115	501	614	DrugBank-corrected	DrugBank
A10BD11	Metformin and linagliptin	DB00331	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	6122	2660	3462	DrugBank-corrected	DrugBank
A10BD11	Metformin and linagliptin	DB08882	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	6122	2660	3462	DrugBank-corrected	DrugBank
A10BD13	Metformin and alogliptin	DB00331	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	1488	618	870	DrugBank-corrected	DrugBank
A10BD13	Metformin and alogliptin	DB06203	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	1488	618	870	DrugBank-corrected	DrugBank
A10BD15	Metformin and dapagliflozin	DB00331	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	5498	2244	3254	DrugBank-corrected	DrugBank
A10BD15	Metformin and dapagliflozin	DB06292	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	5498	2244	3254	DrugBank-corrected	DrugBank
A10BD16	Metformin and canagliflozin	DB00331	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	1251	532	719	DrugBank-corrected	DrugBank
A10BD16	Metformin and canagliflozin	DB08907	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	1251	532	719	DrugBank-corrected	DrugBank
A10BD19	Linagliptin and empagliflozin	DB08882	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	5	2	3	DrugBank-corrected	DrugBank
A10BD19	Linagliptin and empagliflozin	DB09038	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	5	2	3	DrugBank-corrected	DrugBank
A10BD20	Metformin and empagliflozin	DB00331	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	4162	1413	2749	DrugBank-corrected	DrugBank
A10BD20	Metformin and empagliflozin	DB09038	Combinations of oral blood glucose lowering drugs	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	4162	1413	2749	DrugBank-corrected	DrugBank
A10BF01	Acarbose	DB00284	Alpha glucosidase inhibitors	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	9317	4874	4443	DrugBank	DrugBank
A10BF02	Miglitol	DB00491	Alpha glucosidase inhibitors	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	2015	1055	960	DrugBank	DrugBank
A10BG02	Rosiglitazone	DB00412	Thiazolidinediones	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	4113	2213	1900	DrugBank	DrugBank
A10BG03	Pioglitazonas	DB01132	Thiazolidinediones	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	11529	5625	5904	DrugBank	DrugBank
A10BH01	Sitagliptin	DB01261	Dipeptidyl peptidase 4 (DPP-4) inhibitors	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	50912	25407	25505	DrugBank	DrugBank
A10BH02	Vildagliptin	DB04876	Dipeptidyl peptidase 4 (DPP-4) inhibitors	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	11312	5764	5548	DrugBank	DrugBank
A10BH03	Saxagliptin	DB06335	Dipeptidyl peptidase 4 (DPP-4) inhibitors	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	2350	1185	1165	DrugBank	DrugBank
A10BH04	Alogliptin	DB06203	Dipeptidyl peptidase 4 (DPP-4) inhibitors	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	1377	612	765	DrugBank	DrugBank
A10BH05	Linagliptin	DB08882	Dipeptidyl peptidase 4 (DPP-4) inhibitors	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	16027	7546	8481	DrugBank	DrugBank
A10BJ01	Exenatide	DB01276	Glucagon-like peptide-1 (glp-1) analogues	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	4480	2397	2083	WHOCC	DrugBankWeb
A10BJ02	Liraglutide	DB06655	Glucagon-like peptide-1 (glp-1) analogues	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	8376	4374	4002	WHOCC	DrugBankWeb
A10BJ03	Lixisenatide	DB09265	Glucagon-like peptide-1 (glp-1) analogues	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	1158	581	577	WHOCC	DrugBankWeb
A10BJ04	Albiglutide	DB09043	Glucagon-like peptide-1 (glp-1) analogues	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	107	51	56	WHOCC	DrugBankWeb
A10BJ05	Dulaglutide	DB09045	Glucagon-like peptide-1 (glp-1) analogues	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	3426	1733	1693	WHOCC	DrugBankWeb
A10BK01	Dapagliflozin	DB06292	Sodium-glucose co-transporter 2 (sglt2) inhibitors	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	8620	4001	4619	WHOCC	DrugBankWeb
A10BK02	Canagliflozin	DB08907	Sodium-glucose co-transporter 2 (sglt2) inhibitors	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	2653	1256	1397	WHOCC	DrugBankWeb
A10BK03	Empagliflozin	DB09038	Sodium-glucose co-transporter 2 (sglt2) inhibitors	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	8490	3430	5060	WHOCC	DrugBankWeb
A10BX01	Guar gum	DB13446	Other blood glucose lowering drugs, excl. insulins	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	3164	2234	930	WHOCC	DrugBankWeb
A10BX02	Repaglinide	DB00912	Other blood glucose lowering drugs, excl. insulins	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	65278	31647	33631	DrugBank	DrugBank
A10BX03	Nateglinide	DB00731	Other blood glucose lowering drugs, excl. insulins	Blood glucose lowering drugs, excl. insulins	Drugs used in diabetes	230	121	109	DrugBank	DrugBank
A11CA01	Vitamin A	DB00162	Vitamin A, plain	Vitamin a and d, incl. combinations of the two	Vitamins	40518	27464	13054	DrugBank	DrugBank
A11CC03	Alfacalcidol	DB01436	Vitamin D and analogues	Vitamin a and d, incl. combinations of the two	Vitamins	712	321	391	DrugBank	DrugBank
A11CC04	Calcitriol	DB00136	Vitamin D and analogues	Vitamin a and d, incl. combinations of the two	Vitamins	19066	10187	8879	DrugBank	DrugBank
A11CC05	Cholecalciferol	DB00169	Vitamin D and analogues	Vitamin a and d, incl. combinations of the two	Vitamins	58390	44287	14103	DrugBank	DrugBank
A11CC06	Calcifediol	DB00146	Vitamin D and analogues	Vitamin a and d, incl. combinations of the two	Vitamins	343965	270399	73566	DrugBank	DrugBank
A11DA01	Thiamine	DB00152	Vitamin B1, plain	Vitamin b1, plain and in combination with vitamin b6 and b12	Vitamins	28322	14639	13683	DrugBank	DrugBank
A11DA02	Sulbutiamine	DB13416	Vitamin B1, plain	Vitamin b1, plain and in combination with vitamin b6 and b12	Vitamins	7466	5140	2326	DrugBank	DrugBank
A11DA03	Benfotiamine	DB11748	Vitamin B1, plain	Vitamin b1, plain and in combination with vitamin b6 and b12	Vitamins	3	1	2	DrugBank	DrugBank
A11DB91			Vitamin B1 in combination with vitamin B6 and/or vitamin B12	Vitamin b1, plain and in combination with vitamin b6 and b12	Vitamins	2	2	0		
A11GA01	Vitamin C	DB00126	Ascorbic acid (vitamin C), plain	Ascorbic acid (vitamin c), incl. combinations	Vitamins	620	269	351	DrugBank	DrugBank
A11HA02	Pyridoxine	DB00165	Other plain vitamin preparations	Other plain vitamin preparations	Vitamins	18601	10990	7611	DrugBank	DrugBank
A11HA03	Tocopherol	DB11251	Other plain vitamin preparations	Other plain vitamin preparations	Vitamins	21319	11994	9325	DrugBank	DrugBank
A11HA05	Biotin	DB00121	Other plain vitamin preparations	Other plain vitamin preparations	Vitamins	23387	19863	3524	DrugBank	DrugBank
A11HA30	Dexpanthenol	DB09357	Other plain vitamin preparations	Other plain vitamin preparations	Vitamins	12	10	2	DrugBank	DrugBank
A11HA91			Other plain vitamin preparations	Other plain vitamin preparations	Vitamins	1	1	0		
A11HA92			Other plain vitamin preparations	Other plain vitamin preparations	Vitamins	1	0	1		
A12AA01	Calcium Phosphate	DB11348	Calcium	Calcium	Mineral supplements	1647	1095	552	DrugBank	DrugBank
A12AA02	Calcium glubionate	DB13142	Calcium	Calcium	Mineral supplements	45	37	8	DrugBank	DrugBank
A12AA04	Calcium Carbonate	DB06724	Calcium	Calcium	Mineral supplements	43717	34809	8908	DrugBank	DrugBank
A12AA06	Calcium lactate gluconate	DB13365	Calcium	Calcium	Mineral supplements	46979	38049	8930	WHOCC	DrugBankWeb
