Gamma.1	Gamma.2	Npats	Duration	Drug.1	Drug.2
0.14	0.02	  1930	8.56+-9.53	Trazodone	Galantamine
0.06	0.04	  1609	22.31+-28.9	Valproic acid	Carbamazepine
0.01	0.21	  1893	10.31+-14.07	Propafenone	Acenocoumarol
0.15	0.01	 11273	11.87+-18.17	Simvastatin	Fenofibrate
0.1	0.02	  6035	10.72+-14.1	Bisoprolol	Repaglinide
0.16	0.01	  9893	9.33+-12.51	Simvastatin	Amiodarone
0.08	0.02	 16020	3.08+-5.69	Prednisone	Acenocoumarol
0.01	0.14	 44276	2.76+-4.81	Bisoprolol	Ibuprofen
0.03	0.07	   813	12.81+-19.6	Fluvoxamine	Clomipramine
0.03	0.06	  3663	5.66+-9.77	Repaglinide	Gliclazide
0.01	0.2	 29717	3.06+-5.33	Atenolol	Ibuprofen
0.06	0.03	 21795	4.4+-8.7	Tramadol	Citalopram
0.07	0.02	  1788	10.49+-12.17	Digoxin	Verapamil
0.08	0.02	 15642	1.45+-1.12	Ciprofloxacin	Acenocoumarol
0.03	0.05	   949	23.82+-30.46	Lamotrigine	Carbamazepine
0.05	0.03	 10373	9.39+-12.42	Citalopram	Acenocoumarol
0.16	0.01	  6721	6.22+-8.72	Acetylsalicylic acid	Ginkgo biloba
0.02	0.07	  6013	8.89+-12.39	Spironolactone	Losartan
0.01	0.11	 44911	2.59+-4.6	Furosemide	Ibuprofen
0.02	0.09	  7473	6.49+-8.84	Digoxin	Hydrochlorothiazide
0.04	0.04	 11619	5.84+-9.51	Bisoprolol	Formoterol
0.05	0.03	  9631	8.24+-12.24	Bisoprolol	Salmeterol
0.17	0.01	   218	10.28+-14.71	Mesalazine	Mercaptopurine
0.06	0.02	  2233	4.45+-9.24	Propranolol	Rizatriptan
0.01	0.16	 29976	1.39+-0.87	Ethinylestradiol	Amoxicillin
0.04	0.04	  2341	6.16+-10.09	Diltiazem	Amiodarone
0.15	0.01	  7401	4.12+-8.17	Simvastatin	Colchicine
0.02	0.06	 18777	3.55+-6.87	Bisoprolol	Salbutamol
0.04	0.03	  5054	11.42+-14.39	Atenolol	Gliclazide
0.08	0.01	  4708	9.45+-14.41	Bisoprolol	Insulin Aspart
0.04	0.03	  8806	2.42+-3.3	Levothyroxine	Ferrous glycine sulfate
0.1	0.01	  9848	6.24+-12.73	Simvastatin	Gemfibrozil
0.03	0.04	  5502	5.77+-7.47	Trazodone	Acenocoumarol
0.05	0.02	  4364	7.97+-14.03	Amitriptyline	Duloxetine
0.05	0.03	 20838	1.2+-0.71	Simvastatin	Clarithromycin
0.47	0	  9005	5.51+-8.03	Acetaminophen	Warfarin
0.03	0.04	  2169	11.14+-16.21	Repaglinide	Carvedilol
0.04	0.03	  2127	9.17+-14.35	Carvedilol	Insulin Aspart
0.31	0	  9528	8.28+-15.53	Omeprazole	Ketazolam
0.05	0.02	  3168	12.05+-16.18	Gliclazide	Carvedilol
0.08	0.01	  9378	3.47+-8.17	Acetylsalicylic acid	Methylprednisolone aceponate
0.01	0.09	  2690	12.59+-13.96	Donepezil	Sertraline
0.05	0.02	 15804	3.83+-7.34	Tramadol	Paroxetine
0.09	0.01	 17170	2.46+-4.2	Diclofenac	Alendronic acid
0.02	0.05	  3921	9.24+-13.36	Pentoxifylline	Acenocoumarol
0.07	0.02	  4850	9.08+-12.14	Bisoprolol	Glyburide
0.45	0	  6107	8.56+-13.99	Omeprazole	Cilostazol
0.04	0.03	  3317	9.28+-13.14	Ramipril	Spironolactone
0.01	0.07	   779	12.42+-20.1	Fluvoxamine	Olanzapine
0.02	0.04	   436	23.33+-30.42	Phenytoin	Lamotrigine
0.01	0.15	 21883	3.2+-5.95	Torasemide	Ibuprofen
0.04	0.02	  3150	8.56+-11.41	Atenolol	Glyburide
0.34	0	  1916	12.53+-17.2	Acetylsalicylic acid	Glipizide
0.04	0.02	  1857	15.15+-19.34	Fenofibrate	Rosuvastatin
0	0.49	  4869	11.99+-18.58	Phenytoin	Omeprazole
0.07	0.01	  2290	9.54+-16.54	Fluoxetine	Clomipramine
0.06	0.01	  1725	8.16+-9	Mirtazapine	Rivastigmine
0.02	0.06	  4401	7.16+-7.76	Digoxin	Levothyroxine
0.15	0.01	   502	8.68+-13.3	Propranolol	Primidone
0.06	0.01	 11088	4.27+-8.27	Tramadol	Fluoxetine
0.06	0.01	  5508	7.65+-14.2	Atorvastatin	Gemfibrozil
0.01	0.07	  8206	3.56+-8.86	Hydrocortisone	Acetylsalicylic acid
0.4	0	  5246	7.38+-12.78	Omeprazole	Midazolam
0.02	0.03	   516	5.37+-11.73	Cholestyramine	Ursodeoxycholic acid
0.04	0.02	   363	7.76+-9.58	Warfarin	Propafenone
0.03	0.02	  6645	9.25+-13.83	Ranitidine	Acenocoumarol
0.11	0.01	 22709	2.41+-4.21	Ibuprofen	Acenocoumarol
0.05	0.02	  3297	9.34+-14.68	Salmeterol	Carvedilol
0.01	0.07	  3822	15.67+-22.01	Tacrolimus	Atorvastatin
0.23	0	  2260	9.57+-14.07	Acetylsalicylic acid	Insulin Glulisine
0.01	0.07	 12671	2.52+-4.26	Alendronic acid	Naproxen
0	0.16	 14980	2.84+-5.32	Propranolol	Ibuprofen
0.04	0.02	  1225	9.85+-15.21	Carvedilol	Insulin Detemir
0.02	0.03	  1732	4.39+-8.22	Repaglinide	Glyburide
0	0.14	  4015	14.62+-20.59	Carbamazepine	Simvastatin
0.05	0.01	   755	9.65+-14.11	Topiramate	Lithium
0.05	0.01	  1621	12.01+-14.75	Mirtazapine	Donepezil
0.12	0.01	 14846	1.53+-1.56	Omeprazole	Itraconazole
0.08	0.01	  2542	9.25+-13.5	Bisoprolol	Insulin Detemir
0.04	0.02	  4528	6.42+-10.55	Paroxetine	Risperidone
0.01	0.1	  4547	11.22+-16.16	Valproic acid	Acetylsalicylic acid
0.07	0.01	  3465	3.96+-7.5	Atorvastatin	Colchicine
0.03	0.02	  1793	8.98+-12.95	Glyburide	Carvedilol
0.03	0.02	  5932	9.33+-12.64	Paroxetine	Acenocoumarol
0.02	0.02	  4537	6.76+-12.34	Amitriptyline	Fluoxetine
0.01	0.08	   588	3.25+-5.63	Cyclosporine	Sulfamethoxazole
0.01	0.04	  3970	7.95+-13.41	Propranolol	Paroxetine
0.07	0.01	  5853	1.61+-1.62	Acetylsalicylic acid	Dexamethasone
0.08	0.01	  5777	3.99+-7.45	Salbutamol	Carvedilol
0.01	0.06	  3872	8.51+-15.82	Diltiazem	Amlodipine
0	0.14	  4791	5.19+-7.75	Methotrexate	Naproxen
0.05	0.01	  9149	4.05+-8.17	Tramadol	Escitalopram
0.01	0.07	  1618	6.64+-9.16	Methimazole	Acenocoumarol
0.01	0.05	  1260	12.82+-18.67	Carbamazepine	Risperidone
0.07	0.01	  2132	9.09+-10.33	Levothyroxine	Raloxifene
0.39	0	  3603	8.26+-14.61	Omeprazole	Flurazepam
0.01	0.09	  2198	13.96+-19.2	Verapamil	Atorvastatin
0.03	0.02	   517	2.91+-2.95	Raloxifene	Estriol
0.04	0.01	  4105	7.77+-12.89	Citalopram	Propranolol
0.05	0.01	  5034	4.76+-8.59	Metformin	Glucosamine
0.05	0.01	  9536	1.66+-2.6	Azithromycin	Acenocoumarol
0.15	0	 10740	2.92+-5.28	Ibuprofen	Carvedilol
0.05	0.01	  3432	11.52+-16.81	Citalopram	Carvedilol
0.01	0.05	  1460	2.43+-4.16	Sucralfate	Lansoprazole
0	0.41	  3034	14.27+-21.68	Cyclosporine	Omeprazole
0.05	0.01	   842	1.95+-2.4	Trimethoprim	Rifampicin
0.01	0.06	  3444	1.48+-1.22	Amiodarone	Levofloxacin
0.01	0.05	  7671	2.77+-5.35	Atenolol	Salbutamol
0.01	0.06	  4605	6.19+-8.97	Digoxin	Alprazolam
0.01	0.03	  3056	8.58+-13.57	Propranolol	Sertraline
0.03	0.01	   876	20.58+-28.95	Topiramate	Carbamazepine
0.02	0.03	  3465	1.3+-0.94	Moxifloxacin	Acenocoumarol
0.04	0.01	  3031	6.56+-11.45	Formoterol	Carvedilol
0.07	0.01	  1275	7.81+-9.76	Allopurinol	Warfarin
0.03	0.02	  2940	7.07+-12.21	Fluoxetine	Risperidone
0.01	0.04	  8307	1.67+-2.21	Fluconazole	Simvastatin
0.06	0.01	   547	7.47+-10.67	Digoxin	Propafenone
0	0.09	  3228	8.59+-10.94	Methotrexate	Acetylsalicylic acid
0	0.13	  1280	9.31+-13.74	Phenytoin	Furosemide
0.04	0.01	  2482	11.76+-16.98	Sertraline	Carvedilol
0	0.12	  2352	5.4+-9.23	Warfarin	Acetylsalicylic acid
0.01	0.03	  2599	6.95+-11.45	Propranolol	Escitalopram
0	0.28	  1010	9.78+-12.48	Pyridostigmine	Prednisone
0.02	0.02	 10049	1.24+-0.88	Alprazolam	Clarithromycin
0.03	0.01	  1876	9.93+-12.76	Atenolol	Repaglinide
0.06	0.01	   624	2.62+-4.23	Spironolactone	Tolevamer
0.01	0.07	  2018	13.13+-18.85	Carbamazepine	Atorvastatin
0.02	0.02	   898	4.69+-7.89	Glimepiride	Repaglinide
0	0.08	  1048	13.17+-15.47	Galantamine	Sertraline
0.01	0.03	  2338	10.73+-13.88	Fenofibrate	Acenocoumarol
0.02	0.01	  4906	1.44+-1.97	Norfloxacin	Acenocoumarol
0.02	0.02	   834	15.38+-22.55	Tacrolimus	Nifedipine
0.04	0.01	   558	10.57+-15.75	Haloperidol	Lithium
0.01	0.03	  1112	7.59+-11.14	Glimepiride	Gemfibrozil
0.02	0.02	  1228	7.49+-9.76	Digoxin	Telmisartan
0	0.18	  6392	1.58+-1.16	Methotrexate	Amoxicillin
0.01	0.05	  1436	10.85+-15.24	Fluvastatin	Acenocoumarol
0.03	0.01	  2398	7.14+-12.57	Fluoxetine	Propranolol
0	0.18	   242	9.09+-13.04	Clozapine	Clonazepam
0.02	0.02	  1331	9.02+-14.42	Spironolactone	Irbesartan
0.07	0	     1	1+-NA	Mitomycin	Vinblastine
0	0.09	   227	14.31+-20.71	Trihexyphenidyl	Haloperidol
0.05	0.01	   735	12.51+-15.9	Mirtazapine	Galantamine
0.05	0.01	  1257	6.88+-13.6	Amitriptyline	Carbamazepine
0.01	0.03	  2432	9.4+-12.78	Gemfibrozil	Acenocoumarol
0.01	0.04	  2211	3.16+-5.09	Lidocaine	Bisoprolol
0.01	0.03	   227	19.66+-24.96	Cyclosporine	Ursodeoxycholic acid
0.34	0	  2363	6.79+-10.27	Omeprazole	Halazepam
0	0.09	   658	16.85+-20.66	Cyclosporine	Allopurinol
0.03	0.01	   764	5.2+-6.54	Digoxin	Methimazole
0.03	0.01	   671	1.6+-3.35	Amiodarone	Flecainide
0.02	0.02	  3276	8.49+-12.18	Fluoxetine	Acenocoumarol
0.02	0.01	  1404	4.24+-6.91	Fentanyl	Amiodarone
0.01	0.03	   151	15.42+-23.15	Sulfasalazine	Azathioprine
0.06	0	   851	9.1+-13.14	Fluoxetine	Lithium
0.02	0.02	  6943	1.19+-0.85	Atorvastatin	Clarithromycin
0.01	0.03	  4337	1.63+-3	Venlafaxine	Metoclopramide
0.01	0.03	  6306	3.14+-6.71	Amitriptyline	Salbutamol
0.02	0.01	   425	2.77+-7.51	Sumatriptan	Ergotamine
0.01	0.02	   594	13.14+-16.66	Donepezil	Tolterodine
0.01	0.02	  3359	4.43+-8.22	Atenolol	Formoterol
0.03	0.01	  2251	11.72+-17.35	Paroxetine	Carvedilol
0.01	0.02	  2776	6.31+-10.76	Atenolol	Salmeterol
0.01	0.03	  5236	1.5+-1.69	Fluconazole	Alprazolam
0.01	0.04	  1197	11.24+-15.54	Lovastatin	Acenocoumarol
0	0.15	  5377	3.42+-5.79	Methotrexate	Ibuprofen
0.01	0.02	   197	12.25+-18.98	Fluvoxamine	Lithium
0.01	0.04	   444	2.16+-3.4	Phenytoin	Dexamethasone
0.14	0	  1368	9.6+-14.43	Lorazepam	Phenytoin
0.03	0.01	   589	1.5+-2.14	Spironolactone	Eplerenone
0.04	0.01	  4886	1.6+-1.63	Simvastatin	Itraconazole
0	0.05	   544	9.94+-13.85	Phenytoin	Quetiapine
0.04	0.01	    46	4.52+-7.63	Cyclosporine	Sirolimus
0.01	0.02	   693	11.17+-13.4	Donepezil	Solifenacin
0	0.05	  3887	1.32+-1.05	Erythromycin	Simvastatin
0.01	0.04	  3626	2.13+-4.69	Triamcinolone	Acetylsalicylic acid
0.08	0	  2207	3.3+-7.73	Tramadol	Carbamazepine
0.01	0.02	  5883	1.2+-0.71	Citalopram	Clarithromycin
0.23	0	  3196	2.89+-4.72	Ibuprofen	Lithium
0.02	0.01	   426	2.74+-7.78	Zolmitriptan	Ergotamine
0.02	0.01	   866	6.38+-10.73	Spironolactone	Captopril
0.12	0	   695	1.38+-1.19	Furosemide	Gentamicin
0.01	0.03	  2885	2.59+-5.08	Indomethacin	Furosemide
0.01	0.02	  2386	3.59+-8.42	Indomethacin	Losartan
0.02	0.01	  1307	9.37+-14.65	Atenolol	Insulin Aspart
0.01	0.02	   618	14.1+-21.54	Lovastatin	Diltiazem
0	0.1	   745	19.7+-26.47	Cyclosporine	Atorvastatin
0	0.16	  1031	12.98+-15.77	Ranolazine	Simvastatin
0.02	0.01	   584	11.36+-18.68	Haloperidol	Carbamazepine
0.01	0.02	  1699	3.17+-6.88	Indomethacin	Atenolol
0.02	0.01	   958	7.47+-12.3	Spironolactone	Telmisartan
0.01	0.02	  2446	3.02+-6.51	Indomethacin	Bisoprolol
0.01	0.02	   188	13.35+-18.22	Phenytoin	Oxcarbazepine
0.01	0.02	   393	2.23+-4.1	Ergotamine	Rizatriptan
0	0.04	   283	10.94+-15.8	Ranolazine	Diltiazem
0.01	0.02	  1900	4.4+-7.93	Indomethacin	Alendronic acid
0.01	0.02	  2062	3.17+-6.81	Hydrocortisone	Acenocoumarol
0.07	0	   659	8.77+-12.73	Folic Acid	Phenytoin
0.01	0.02	  1517	10.25+-15.33	Carvedilol	Escitalopram
0.01	0.02	   330	11.86+-16.13	Galantamine	Tolterodine
0	0.06	   591	11.29+-15.6	Phenytoin	Acenocoumarol
0.06	0	   675	13+-16.67	Sertraline	Rasagiline
0.06	0	  1667	7.74+-15.01	Alprazolam	Carbamazepine
0.03	0.01	   389	5.22+-10.16	Ezetimibe	Cholestyramine
0.03	0.01	   475	3.02+-5.64	Spironolactone	Cholestyramine
0.01	0.01	  4315	1.21+-0.72	Dextromethorphan	Paroxetine
0.01	0.02	  1415	10.15+-13.85	Propranolol	Gliclazide
0.05	0	   948	6.86+-8.27	Levothyroxine	Warfarin
0.01	0.01	  1346	6.12+-11.79	Pravastatin	Gemfibrozil
0	0.03	   249	1.54+-1.66	Cyclosporine	Tacrolimus
0	0.04	   288	19.67+-25.5	Cyclosporine	Carvedilol
0.01	0.01	  1138	4.68+-6.84	Digoxin	Rabeprazole
0	0.04	  3487	2.91+-5.93	Propranolol	Salbutamol
0	0.04	  3537	3.95+-6.4	Digoxin	Diazepam
0.02	0.01	  1243	7.42+-14.12	Atenolol	Diltiazem
0.05	0	   581	11.39+-14.26	Escitalopram	Rasagiline
0.09	0	   520	10.12+-14	Bisoprolol	Glipizide
0.03	0.01	   837	9.2+-12.34	Atenolol	Insulin Detemir
0.07	0	   802	11.32+-14.27	Citalopram	Rasagiline
0.01	0.02	  3824	1.2+-0.83	Sertraline	Clarithromycin
0	0.05	    30	20.47+-21.87	Prazosin	Nadolol
0.05	0	  2673	3.24+-9.15	Enalapril	Tizanidine
0	0.03	  3120	1.39+-1.17	Duloxetine	Ciprofloxacin
0.01	0.03	   194	3.29+-7.55	Cyclosporine	Methotrexate
0.02	0.01	   585	11.37+-18.88	Fenofibrate	Fluvastatin
0.01	0.02	    29	1.31+-0.71	Dextropropoxyphene	Naltrexone
0.02	0.01	  1776	1.44+-2.07	Fluconazole	Fentanyl
0	0.03	   932	10.29+-17.27	Carbamazepine	Sertraline
0	0.1	  1023	1.68+-1.37	Phenytoin	Ciprofloxacin
0.02	0.01	  1349	9.93+-15.33	Fluoxetine	Carvedilol
0.04	0	  1136	6.47+-11.23	Citalopram	Oxycodone
0.01	0.01	   301	10.89+-16.45	Carbamazepine	Aripiprazole
0.02	0.01	  7813	1.13+-0.65	Diazepam	Clarithromycin
0.06	0	   515	9.12+-14.12	Folic Acid	Phenobarbital
0.07	0	  1363	3.24+-5.72	Prednisone	Warfarin
0	0.04	   442	7.56+-14.23	Fluvoxamine	Mirtazapine
0.02	0.01	   854	4.01+-7.5	Pravastatin	Colchicine
0.07	0	   637	7.26+-10.46	Bisoprolol	Insulin Glulisine
0	0.03	   870	7.2+-11.16	Oxycodone	Sertraline
0	0.07	  2524	4.01+-6.94	Methotrexate	Diclofenac
0	0.05	  1005	1.41+-1.57	Warfarin	Levofloxacin
0.08	0	    56	3.93+-5.08	Methotrexate	Phenylbutazone
0	0.03	   188	17.88+-24.47	Cyclosporine	Nifedipine
0	0.04	   275	5.93+-11.86	Imipramine	Duloxetine
0.01	0.02	  3069	1.71+-2.93	Fluconazole	Atorvastatin
0	0.11	  1109	8.21+-14.83	Phenytoin	Diazepam
0	0.03	   343	12.1+-15.87	Galantamine	Solifenacin
0.02	0.01	   431	7.35+-9.46	Olanzapine	Rivastigmine
0.01	0.02	  3219	1.19+-0.75	Fluoxetine	Clarithromycin
0.01	0.01	  2412	1.12+-0.44	Cloxacillin	Acenocoumarol
0.01	0.01	  1362	3.18+-6.49	Torasemide	Indomethacin
0.04	0	   966	6.25+-12.29	Bisoprolol	Verapamil
0.07	0	   308	7.93+-14.13	Fluoxetine	Nortriptyline
0.09	0	  1041	1.62+-1.67	Ciprofloxacin	Rasagiline
0.01	0.01	   713	6.67+-9.84	Digoxin	Indapamide
0.05	0	   212	7.38+-12.23	Duloxetine	Nortriptyline
0	0.03	   268	21.33+-28.11	Phenytoin	Topiramate
0.01	0.01	   829	6.95+-10.5	Repaglinide	Gemfibrozil
0.03	0	   283	7.47+-11.24	Carvedilol	Insulin Glulisine
0.01	0.02	  2897	1.23+-1.04	Fluoxetine	Dextromethorphan
0	0.05	   683	10.42+-12.6	Galantamine	Paroxetine
0.01	0.01	   444	9.58+-13.24	Olanzapine	Donepezil
0.03	0	  1158	5.49+-10.42	Paroxetine	Rizatriptan
0	0.07	   101	6.09+-8.81	Clozapine	Haloperidol
0.03	0	  1275	4.94+-9.61	Citalopram	Rizatriptan
0.01	0.01	   288	16.16+-21.22	Lovastatin	Verapamil
0.03	0	   416	13.47+-17.95	Mirtazapine	Rasagiline
0	0.06	   381	7.85+-11.61	Imipramine	Fluoxetine
0.01	0.02	     5	1+-0	Ceftazidime	Tobramycin
0.05	0	  1724	3.62+-7.59	Salbutamol	Clomipramine
0.02	0	   460	4.31+-10.1	Propranolol	Ergotamine
0.02	0.01	  3122	1.24+-1.1	Clarithromycin	Acenocoumarol
0	0.02	   890	4.79+-8.42	Rizatriptan	Escitalopram
0.02	0	   896	4.72+-8.61	Fluoxetine	Rizatriptan
0	0.03	  1130	5.32+-10.11	Zolmitriptan	Paroxetine
0.01	0.01	  1265	6.45+-11.26	Spironolactone	Lisinopril
0	0.02	  4509	1.36+-2.04	Fluconazole	Diazepam
0.01	0.01	   830	7.98+-11.52	Propranolol	Glyburide
0	0.02	   882	5.3+-9.63	Zolmitriptan	Fluoxetine
0.06	0	  1216	1.42+-1.34	Ciprofloxacin	Warfarin
0.01	0.01	   257	4.75+-7.23	Donepezil	Methotrimeprazine
0.01	0.01	  2219	2.06+-4.34	Bisoprolol	Terbutaline
0.02	0	  2693	1.52+-1.77	Alprazolam	Itraconazole
0.08	0	   988	4.02+-6.64	Tramadol	Rasagiline
0	0.03	  2172	1.38+-1.28	Erythromycin	Alprazolam
0.01	0.02	  1670	4.44+-8.21	Propranolol	Formoterol
0.04	0	    94	6.04+-8.37	Methotrexate	Flurbiprofen
0	0.43	    74	11.66+-16.2	Disopyramide	Bisoprolol
0	0.02	   860	5.11+-10.49	Zolmitriptan	Escitalopram
0.01	0.01	   168	5.73+-7.79	Galantamine	Methotrimeprazine
0.03	0	   717	8.14+-13.96	Fluoxetine	Carbamazepine
0.03	0	  1193	4.87+-8.95	Citalopram	Zolmitriptan
0	0.03	   330	9.55+-13.02	Pioglitazone	Gemfibrozil
0	0.03	   730	10.49+-15.62	Carbamazepine	Acenocoumarol
0.04	0	   643	4.01+-6.48	Levothyroxine	Cholestyramine
0	0.03	   254	5.93+-7.3	Acarbose	Digoxin
0.02	0.01	  4020	1.25+-0.9	Ciprofloxacin	Ferrous glycine sulfate
0.01	0.02	   464	6.28+-8.2	Chlorthalidone	Digoxin
0.04	0	   803	7.37+-9.43	Citalopram	Warfarin
0	0.03	   971	4.22+-6.76	Glimepiride	Pregabalin
0.01	0.01	  1334	5.79+-10.32	Propranolol	Salmeterol
0.01	0.01	   672	7.56+-12.72	Rosuvastatin	Gemfibrozil
0.01	0.01	    31	8.26+-13.05	Pyridostigmine	Fludrocortisone
0.02	0	   336	9.04+-12.96	Spironolactone	Perindopril
0.02	0	   286	9.59+-14.12	Diltiazem	Cilostazol
0	0.04	   444	12.31+-19.26	Phenytoin	Gabapentin
0.03	0	   261	12.9+-22.62	Propranolol	Phenobarbital
0.14	0	  2424	1.68+-1.66	Acetaminophen	Isoniazid
0	0.03	   552	2.92+-5.82	Nabumetone	Alendronic acid
0.03	0	   367	12.77+-17.02	Venlafaxine	Rasagiline
0.39	0	   612	8.07+-14.27	Omeprazole	Triazolam
0	0.07	   714	9.27+-15.88	Phenytoin	Alprazolam
0.02	0	   463	5.19+-7	Trazodone	Warfarin
0.02	0	  3423	1.33+-1.7	Prednisone	Ethinylestradiol
0.01	0.01	   221	4.29+-5.41	Rivastigmine	Methotrimeprazine
0	0.03	   543	2.4+-4.1	Nabumetone	Acenocoumarol
0.04	0	   854	1.41+-1.03	Levofloxacin	Methotrimeprazine
0	0.03	     1	2+-NA	Clodronic acid	Estramustine
0	0.04	   367	15.05+-21.31	Phenobarbital	Acenocoumarol
0.07	0	   971	8.73+-12.89	Enalapril	Lithium
0	0.2	  1394	3.28+-6.79	Metoprolol	Ibuprofen
0.01	0.01	   685	4.4+-9.41	Haloperidol	Propranolol
0	0.09	   702	14.97+-22.9	Cyclosporine	Simvastatin
0	0.03	   874	5+-9.37	Sumatriptan	Paroxetine
0	0.03	   154	2.69+-5.57	Trospium	Solifenacin
0	0.03	   652	8.35+-11.75	Warfarin	Ranitidine
0.01	0.01	  1318	1.95+-4.08	Atenolol	Terbutaline
0.01	0.01	     3	1+-0	Ceftazidime	Amikacin
0.04	0	  1399	1.35+-1.09	Ciprofloxacin	Methotrexate
0.01	0.01	   794	1.28+-0.8	Moxifloxacin	Amiodarone
0	0.03	   468	10.93+-15.8	Azathioprine	Acenocoumarol
0.15	0	  1675	2.37+-3.62	Ibuprofen	Nadolol
0	0.05	  5258	1.05+-0.37	Doxycycline	Amoxicillin
0	0.02	   318	8.22+-11.11	Warfarin	Pentoxifylline
0.06	0	  1000	2.23+-4.12	Enalapril	Rifampicin
0.09	0	  1180	1.81+-2.26	Diclofenac	Lithium
0.05	0	  1395	1.43+-1.36	Azithromycin	Lovastatin
0	0.03	   118	3.53+-6.28	Trospium	Tolterodine
0.02	0	  4014	1.7+-2.61	Naproxen	Acenocoumarol
0	0.02	    89	13.73+-20.97	Ziprasidone	Carbamazepine
0	0.03	   726	6.12+-11.08	Oxycodone	Paroxetine
0.01	0.01	  2533	1.22+-0.68	Levofloxacin	Ferrous glycine sulfate
0.02	0	   518	4.59+-9.21	Fluoxetine	Ergotamine
0	0.02	  1464	1.34+-0.95	Erythromycin	Atorvastatin
0	0.06	   208	7.83+-12.88	Primidone	Acenocoumarol
0	0.02	   168	11.14+-17.48	Phenytoin	Levodopa
0	0.02	   264	5.06+-11.1	Fluvoxamine	Duloxetine
0.12	0	  1489	1.94+-3.37	Omeprazole	Ketoconazole
0	0.02	   561	4.71+-7.45	Oxycodone	Escitalopram
0.02	0	   562	5.41+-8.95	Fluoxetine	Oxycodone
0	0.03	   467	5.03+-9.08	Almotriptan	Escitalopram
0	0.05	   955	1.33+-1.23	Betamethasone	Acetylsalicylic acid
0	0.13	   363	8.86+-12.31	Fludrocortisone	Acetylsalicylic acid
0	0.04	   371	12.01+-17.27	Phenytoin	Sertraline
0.01	0.01	   588	8.7+-12.89	Propranolol	Repaglinide
0.01	0.01	   156	2.51+-4.63	Ergotamine	Almotriptan
0.02	0	   476	6.7+-13.27	Atenolol	Verapamil
0	0.02	  1783	1.17+-1.55	Methylprednisolone aceponate	Clarithromycin
0.03	0	   144	4.55+-7.47	Repaglinide	Glipizide
0	0.03	   155	8.92+-13.4	Glipizide	Carvedilol
