Drug.1	Drug.2	Number_pats	RR
DB00697_DB01197	Tizanidine	Captopril	48	1.78
DB01242_DB01367	Clomipramine	Rasagiline	48	1.78
DB00199_DB00564	Erythromycin	Carbamazepine	53	1.59
DB00489_DB01211	Sotalol	Clarithromycin	52	1.61
DB00952_DB01175	Naratriptan	Escitalopram	24	3.19
DB00196_DB00682	Fluconazole	Warfarin	55	1.38
DB00199_DB00216	Erythromycin	Eletriptan	9	8.37
DB00696_DB00998	Ergotamine	Frovatriptan	22	3.41
DB00199_DB00696	Erythromycin	Ergotamine	31	2.4
DB00683_DB01167	Midazolam	Itraconazole	37	1.91
DB00280_DB00612	Disopyramide	Bisoprolol	46	1.53
DB00598_DB00871	Labetalol	Terbutaline	15	4.65
DB00814_DB01356	Meloxicam	Lithium	32	2.12
DB00952_DB01104	Naratriptan	Sertraline	17	3.95
DB00696_DB00952	Ergotamine	Naratriptan	12	5.58
DB00489_DB00983	Sotalol	Formoterol	61	1.07
DB00715_DB01037	Paroxetine	Selegiline	43	1.48
DB00199_DB00682	Erythromycin	Warfarin	47	1.32
DB01100_DB01175	Pimozide	Escitalopram	55	1.11
DB00176_DB00918	Fluvoxamine	Almotriptan	18	3.35
DB01045_DB01097	Rifampicin	Leflunomide	45	1.27
DB00563_DB00712	Methotrexate	Flurbiprofen	51	1.1
DB00218_DB00246	Moxifloxacin	Ziprasidone	28	2
DB00216_DB00320	Eletriptan	Dihydroergotamine	15	3.49
DB00199_DB00320	Erythromycin	Dihydroergotamine	27	1.93
DB00598_DB00938	Labetalol	Salmeterol	22	2.27
DB01026_DB01224	Ketoconazole	Quetiapine	30	1.64
DB00461_DB00682	Nabumetone	Warfarin	29	1.68
DB00715_DB01100	Paroxetine	Pimozide	36	1.29
DB00310_DB01356	Chlorthalidone	Lithium	17	2.63
DB00199_DB00864	Erythromycin	Tacrolimus	40	1.09
DB00328_DB01356	Indomethacin	Lithium	38	1.1
DB00215_DB01100	Citalopram	Pimozide	37	1.07
DB00871_DB01203	Terbutaline	Nadolol	26	1.51
DB01115_DB01174	Nifedipine	Phenobarbital	28	1.37
DB00668_DB01242	Epinephrine	Clomipramine	24	1.59
DB00682_DB01174	Warfarin	Phenobarbital	35	1.08
DB01023_DB01167	Felodipine	Itraconazole	18	2.09
DB00479_DB00695	Amikacin	Furosemide	32	1.1
DB00924_DB01367	Cyclobenzaprine	Rasagiline	33	1.06
DB00176_DB00696	Fluvoxamine	Ergotamine	15	2.32
DB00176_DB00697	Fluvoxamine	Tizanidine	16	2.12
DB00218_DB00489	Moxifloxacin	Sotalol	27	1.25
DB00554_DB00563	Piroxicam	Methotrexate	24	1.39
DB00320_DB01026	Dihydroergotamine	Ketoconazole	6	5.58
DB00472_DB01037	Fluoxetine	Selegiline	21	1.39
DB00227_DB01045	Lovastatin	Rifampicin	19	1.47
DB00697_DB00790	Tizanidine	Perindopril	25	1.11
DB00321_DB00575	Amitriptyline	Clonidine	15	1.74
DB00514_DB01037	Dextromethorphan	Selegiline	21	1.22
DB00492_DB00697	Fosinopril	Tizanidine	11	2.04
DB00176_DB00458	Fluvoxamine	Imipramine	19	1.1
DB00280_DB00335	Disopyramide	Atenolol	19	1.04
DB00502_DB01026	Haloperidol	Ketoconazole	15	1.27
DB00540_DB01367	Nortriptyline	Rasagiline	9	2.09
DB00458_DB01367	Imipramine	Rasagiline	11	1.7
DB00472_DB00726	Fluoxetine	Trimipramine	11	1.7
DB00176_DB00277	Fluvoxamine	Theophylline	10	1.86
DB00227_DB01026	Lovastatin	Ketoconazole	10	1.86
DB00243_DB00661	Ranolazine	Verapamil	12	1.39
DB00196_DB00897	Fluconazole	Triazolam	6	2.79
DB00176_DB00320	Fluvoxamine	Dihydroergotamine	10	1.55
DB00252_DB01023	Phenytoin	Felodipine	10	1.55
DB01211_DB01590	Clarithromycin	Everolimus	10	1.55
DB00199_DB00489	Erythromycin	Sotalol	9	1.67
DB00320_DB00998	Dihydroergotamine	Frovatriptan	9	1.67
DB00415_DB00563	Ampicillin	Methotrexate	4	3.72
DB00196_DB01100	Fluconazole	Pimozide	4	3.72
DB00682_DB00794	Warfarin	Primidone	12	1.12
DB00214_DB00684	Torasemide	Tobramycin	10	1.33
DB00489_DB00871	Sotalol	Terbutaline	12	1.01
DB00363_DB01059	Clozapine	Norfloxacin	8	1.49
DB00598_DB00661	Labetalol	Verapamil	5	2.32
DB00321_DB00388	Amitriptyline	Phenylephrine	6	1.86
DB00864_DB01026	Tacrolimus	Ketoconazole	8	1.24
DB00091_DB00199	Cyclosporine	Erythromycin	9	1.05
DB00519_DB00697	Trandolapril	Tizanidine	8	1.06
DB00176_DB01142	Fluvoxamine	Doxepin	6	1.39
DB00227_DB00627	Lovastatin	Niacin	3	2.79
DB00388_DB01242	Phenylephrine	Clomipramine	3	2.79
DB00696_DB01026	Ergotamine	Ketoconazole	5	1.55
DB00214_DB00479	Torasemide	Amikacin	5	1.16
DB00209_DB00761	Trospium	Potassium chloride	4	1.24
DB00246_DB01026	Ziprasidone	Ketoconazole	3	1.39
DB00207_DB00280	Azithromycin	Disopyramide	3	1.39
DB00252_DB00501	Phenytoin	Cimetidine	2	1.86
DB00575_DB01203	Clonidine	Nadolol	2	1.86
DB00798_DB00887	Gentamicin	Bumetanide	2	1.86
DB00421_DB00648	Spironolactone	Mitotane	2	1.86
