gender,id_drug_i,id_drug_j,patient,name_i,name_j,sum(len_i),sum(len_j),sum(len_ij),mean(len_ij),std(len_ij),sum(tau),class_i,class_j,ddi_description,ddi_severity,patient-drug_i,patient-drug_j,gamma-drug_ij,gamma-drug_ji,tau-norm
Male,DB00343,DB01076,5348,Diltiazem,Atorvastatin,662411,4939299,103887,19.4253926701571,24.3395008572037,1866.38446951568,Benzothiazepines,Pyrroles,The serum concentration of Diltiazem can be increased when it is combined with Atorvastatin.,Moderate,31144,209764,0.171718469047007,0.025495318548464,0.348987372759103
Male,DB00612,DB01120,6959,Bisoprolol,Gliclazide,3453335,1507561,83078,11.938209512861,14.1667452166379,1635.01399049093,Benzene and substituted derivatives,Benzene and substituted derivatives,Bisoprolol may increase the hypoglycemic activities of Gliclazide.,None,161365,71001,0.0431258327394416,0.0980127040464219,0.234949560352196
Male,DB00564,DB01202,976,Carbamazepine,Levetiracetam,269359,405238,25725,26.3575819672131,29.613513961053,346.649211040444,Benzazepines,Carboxylic acids and derivatives,The risk or severity of adverse effects can be increased when Carbamazepine is combined with Levetiracetam.,Moderate,12348,18398,0.0790411402656301,0.053049244483096,0.355173371967668
Male,DB00328,DB00563,1697,Indomethacin,Methotrexate,188571,214730,14968,8.8202710665881,12.3548216152019,419.313166142748,Indoles and derivatives,Carboxylic acids and derivatives,The serum concentration of Methotrexate can be increased when it is combined with Indomethacin.,Major,51521,13712,0.0329380252712486,0.123760210035006,0.247090846283293
Male,DB00674,DB01224,1052,Galantamine,Quetiapine,95984,581956,10600,10.0760456273764,11.4543696700584,302.819439696044,Amaryllidaceae alkaloids,Benzothiazepines,Galantamine may increase the QTc-prolonging activities of Quetiapine.,Moderate,5120,54393,0.20546875,0.0193407239902193,0.287851178418292
Male,DB00656,DB00843,1322,Trazodone,Donepezil,353491,180387,10655,8.05975794251135,9.45935482651672,335.892438541288,Diazinanes,Piperidines,,Moderate,44939,10009,0.0294176550435034,0.132081126985713,0.254079000409447
Male,DB00674,DB00734,926,Galantamine,Risperidone,95984,551427,5693,6.14794816414687,7.3529351448845,226.403438319761,Amaryllidaceae alkaloids,Pyridopyrimidines,,Moderate,5120,47360,0.180859375,0.0195523648648649,0.244496153693047
Male,DB00343,DB00641,6370,Diltiazem,Simvastatin,662411,11154281,123472,19.3833594976452,24.4331298810397,2103.64753190156,Benzothiazepines,Lactones,The serum concentration of Simvastatin can be increased when it is combined with Diltiazem.,Major,31144,391184,0.204533778576933,0.0162838970919056,0.330242940643886
Male,DB00494,DB00714,23,Entacapone,Apomorphine,12970,1498,80,3.47826086956522,3.75220620214284,3.55242575297292,Cinnamic acids and derivatives,Aporphines,,Moderate,732,228,0.0314207650273224,0.100877192982456,0.154453293607518
Male,DB00313,DB00564,924,Valproic acid,Carbamazepine,494600,269359,22242,24.0714285714286,29.8491927425644,359.204538630411,Fatty Acyls,Benzazepines,The serum concentration of the active metabolites of Carbamazepine can be increased when Carbamazepine is used in combination with Valproic Acid.,Moderate,22626,12348,0.0408379740121984,0.0748299319727891,0.388749500682263
Male,DB01137,DB01418,7688,Levofloxacin,Acenocoumarol,321634,2278071,11992,1.55983350676379,1.51315624082374,568.000028135065,Quinolines and derivatives,Coumarins and derivatives,Levofloxacin may increase the anticoagulant activities of Acenocoumarol.,None,195141,100435,0.0393971538528551,0.0765470204609947,0.0738813772288066
Male,DB00641,DB01039,7487,Simvastatin,Fenofibrate,11154281,859265,97961,13.0841458528115,19.0308851865821,2075.65229863505,Lactones,Benzene and substituted derivatives,The risk or severity of myopathy and rhabdomyolysis can be increased when Fenofibrate is combined with Simvastatin.,Major,391184,47820,0.0191393308519776,0.156566290255123,0.277234179061714
Male,DB00338,DB00563,6799,Omeprazole,Methotrexate,20675857,214730,79930,11.7561406089131,15.7971925266012,1518.28599073238,Benzimidazoles,Carboxylic acids and derivatives,The serum concentration of Methotrexate can be increased when it is combined with Omeprazole.,Major,1180390,13712,0.00575996069095807,0.495843057176196,0.223310191312307
Male,DB00176,DB01242,415,Fluvoxamine,Clomipramine,87908,246730,6050,14.578313253012,21.7777090318193,134.692856087092,Benzene and substituted derivatives,Benzazepines,The risk or severity of adverse effects can be increased when Fluvoxamine is combined with Clomipramine.,Major,4914,12393,0.0844525844525845,0.0334866456870814,0.324561099005042
Male,DB00656,DB00674,760,Trazodone,Galantamine,353491,95984,5963,7.84605263157895,8.55740810114903,185.775980550735,Diazinanes,Amaryllidaceae alkaloids,,Moderate,44939,5120,0.0169118137920292,0.1484375,0.244442079672019
Male,DB00641,DB01118,5635,Simvastatin,Amiodarone,11154281,344777,55410,9.83318544809228,13.295614875736,1272.86668061618,Lactones,Organooxygen compounds,The serum concentration of Simvastatin can be increased when it is combined with Amiodarone.,Major,391184,32842,0.0144049858889934,0.17157907557396,0.225885835069419
Male,DB00641,DB01394,5917,Simvastatin,Colchicine,11154281,159545,23313,3.94000338009126,7.80006784266812,554.45811768961,Lactones,Tropones,Colchicine may increase the myopathic rhabdomyolysis activities of Simvastatin.,Major,391184,37843,0.0151258742688863,0.15635652564543,0.0937059519502468
Male,DB00635,DB01418,8447,Prednisone,Acenocoumarol,828038,2278071,25516,3.02071741446667,5.47120607882377,994.099722937497,Steroids and steroid derivatives,Coumarins and derivatives,,None,305977,100435,0.0276066501730522,0.0841041469607209,0.117686719893157
Male,DB00612,DB00912,3401,Bisoprolol,Repaglinide,3453335,521241,38451,11.3057924139959,14.5065905497897,818.530161581215,Benzene and substituted derivatives,Piperidines,,Moderate,161365,30969,0.0210764416075357,0.109819496916271,0.240673378883039
Male,DB00563,DB01611,317,Methotrexate,Hydroxychloroquine,214730,45237,2728,8.60567823343849,12.0291983617053,82.4918254079035,Carboxylic acids and derivatives,Quinolines and derivatives,,Minor,13712,3235,0.0231184364060677,0.0979907264296754,0.260226578573828
Male,DB00537,DB01418,8884,Ciprofloxacin,Acenocoumarol,606403,2278071,13121,1.47692480864475,1.18720853196249,644.086879319372,Quinolines and derivatives,Coumarins and derivatives,,None,372733,100435,0.0238347557098513,0.0884552197938965,0.0724996487302309
Male,DB00555,DB00564,452,Lamotrigine,Carbamazepine,220926,269359,11635,25.7411504424779,31.973752906853,163.408710145163,Benzene and substituted derivatives,Benzazepines,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Carbamazepine.,Moderate,8150,12348,0.0554601226993865,0.0366051182377713,0.361523695011421
Male,DB00612,DB00938,5887,Bisoprolol,Salmeterol,3453335,1485384,54300,9.22371326651945,13.169897728871,1251.26640816127,Benzene and substituted derivatives,Benzene and substituted derivatives,Bisoprolol may decrease the bronchodilatory activities of Salmeterol.,Moderate,161365,107566,0.0364825085985189,0.0547291895208523,0.212547376959618
Male,DB00451,DB01418,3083,Levothyroxine,Acenocoumarol,706685,2278071,25873,8.39215050275705,9.96497581721561,670.405470417053,Carboxylic acids and derivatives,Coumarins and derivatives,Levothyroxine may increase the anticoagulant activities of Acenocoumarol.,None,51021,100435,0.0604260990572509,0.0306964703539603,0.217452309574133
Male,DB00612,DB00983,6476,Bisoprolol,Formoterol,3453335,1242675,43285,6.68390982087708,10.541581306092,1091.436986053,Benzene and substituted derivatives,Benzene and substituted derivatives,Bisoprolol may decrease the bronchodilatory activities of Formoterol.,Moderate,161365,140322,0.0401326185975893,0.046150995567338,0.168535668013125
Male,DB00338,DB01166,4770,Omeprazole,Cilostazol,20675857,137965,44261,9.279035639413,14.73163586695,801.531735936934,Benzimidazoles,Quinolines and derivatives,The serum concentration of Cilostazol can be increased when it is combined with Omeprazole.,Major,1180390,10690,0.0040410372842874,0.44621141253508,0.168036003341076
Male,DB00612,DB01050,21355,Bisoprolol,Ibuprofen,3453335,5273130,51035,2.38983844532896,4.08033496357105,1643.96382075289,Benzene and substituted derivatives,Phenylpropanoic acids,Ibuprofen may decrease the antihypertensive activities of Bisoprolol.,Moderate,161365,1586173,0.132339726706535,0.0134632224858196,0.0769826186257498
Male,DB00806,DB01418,2646,Pentoxifylline,Acenocoumarol,559548,2278071,27103,10.2430083144369,14.2529504212401,666.817921882385,Imidazopyrimidines,Coumarins and derivatives,Pentoxifylline may increase the anticoagulant activities of Acenocoumarol.,None,39660,100435,0.0667170953101362,0.0263453975207846,0.252009796629775
Male,DB00912,DB01120,1928,Repaglinide,Gliclazide,521241,1507561,11029,5.7204356846473,9.63684965206013,310.61661003362,Piperidines,Benzene and substituted derivatives,Repaglinide may increase the hypoglycemic activities of Gliclazide.,None,30969,71001,0.0622558041912881,0.0271545471190547,0.161108200224906
Male,DB00641,DB01241,6518,Simvastatin,Gemfibrozil,11154281,935789,46121,7.07594354096349,13.7611054539785,1043.49786689285,Lactones,Phenol ethers,The risk or severity of rhabdomyolysis. myoglobinuria. and elevated creatine kinase (CPK) can be increased when Gemfibrozil is combined with Simvastatin.,Major,391184,64650,0.0166622356742607,0.100819798917247,0.160094793938762
Male,DB00176,DB00334,487,Fluvoxamine,Olanzapine,87908,496341,6587,13.5256673511294,21.2127877593413,159.987319664411,Benzene and substituted derivatives,Benzodiazepines,The metabolism of Olanzapine can be decreased when combined with Fluvoxamine.,Moderate,4914,29990,0.0991045991045991,0.0162387462487496,0.328516056805772
Male,DB01136,DB01306,1330,Carvedilol,Insulin aspart,1094573,715313,12886,9.68872180451128,14.9462324745115,284.346805016554,Indoles and derivatives,Carboxylic Acids and Derivatives,,Moderate,38052,28999,0.0349521707137601,0.0458636504707059,0.213794590238011
Male,DB00244,DB01033,115,Mesalazine,Mercaptopurine,311976,8738,1453,12.6347826086957,17.3080097241197,26.2612859426444,Benzene and substituted derivatives,Imidazopyrimidines,The metabolism of Mercaptopurine can be decreased when combined with Mesalazine.,Moderate,13347,621,0.00861616842736195,0.185185185185185,0.228359008196908
Male,DB00343,DB01118,1261,Diltiazem,Amiodarone,662411,344777,8332,6.60745440126883,10.8946138552253,348.856729345873,Benzothiazepines,Organooxygen compounds,The risk or severity of bradycardia can be increased when Diltiazem is combined with Amiodarone.,Major,31144,32842,0.0404893398407398,0.0383959563972961,0.276650855944388
Male,DB00612,DB01001,9831,Bisoprolol,Salbutamol,3453335,2044159,40490,4.11860441460686,7.76528589498031,1159.14058529082,Benzene and substituted derivatives,Benzene and substituted derivatives,Bisoprolol may decrease the bronchodilatory activities of Salbutamol.,Moderate,161365,386340,0.0609239921916153,0.0254464979034012,0.117906681445511
Male,DB01182,DB01418,749,Propafenone,Acenocoumarol,62980,2278071,7345,9.8064085447263,13.4254193234081,175.92826004154,Linear 1-3-diarylpropanoids,Coumarins and derivatives,The serum concentration of Acenocoumarol can be increased when it is combined with Propafenone.,None,3636,100435,0.205995599559956,0.00745755961567183,0.234884192311802
Male,DB01039,DB01098,1400,Fenofibrate,Rosuvastatin,859265,455993,23537,16.8121428571429,20.22142604203,503.732008256035,Benzene and substituted derivatives,Diazines,The risk or severity of myopathy and rhabdomyolysis can be increased when Fenofibrate is combined with Rosuvastatin.,Major,47820,26892,0.0292764533667921,0.0520600922207348,0.359808577325739
Male,DB00912,DB01136,1338,Repaglinide,Carvedilol,521241,1094573,15693,11.7286995515695,16.8253939116485,329.502852673966,Piperidines,Indoles and derivatives,,Moderate,30969,38052,0.043204494817398,0.0351624093345948,0.246265211266043
Male,DB00612,DB01306,2644,Bisoprolol,Insulin aspart,3453335,715313,26508,10.0257186081694,15.032242445921,543.810896633431,Benzene and substituted derivatives,Carboxylic Acids and Derivatives,,Moderate,161365,28999,0.0163852136460819,0.0911755577778544,0.205677343658635
Male,DB00390,DB00661,713,Digoxin,Verapamil,381294,220782,8275,11.6058906030856,13.1783495869676,226.103815656489,Steroids and steroid derivatives,Benzene and substituted derivatives,The metabolism of Digoxin can be decreased when combined with Verapamil.,Moderate,32281,10646,0.0220872959325919,0.0669735111779072,0.317116150990868
Male,DB00335,DB01120,2742,Atenolol,Gliclazide,1443757,1507561,31489,11.4839533187454,14.2681720885557,613.774464522332,Benzene and substituted derivatives,Benzene and substituted derivatives,Atenolol may increase the hypoglycemic activities of Gliclazide.,None,72658,71001,0.0377384458696909,0.0386191743778257,0.223841890781303
Male,DB00252,DB00555,255,Phenytoin,Lamotrigine,141924,220926,6120,24,30.7871790474669,89.7177909973218,Azolidines,Benzene and substituted derivatives,The serum concentration of Lamotrigine can be decreased when it is combined with Phenytoin.,Moderate,5491,8150,0.0464396284829721,0.0312883435582822,0.351834474499301
Male,DB00335,DB01050,12833,Atenolol,Ibuprofen,1443757,5273130,33202,2.58723603210473,4.61080832420866,1220.38648294802,Benzene and substituted derivatives,Phenylpropanoic acids,Ibuprofen may decrease the antihypertensive activities of Atenolol.,Moderate,72658,1586173,0.176621982438272,0.00809054245659206,0.0950975206847984
Male,DB00945,DB01381,2779,Acetylsalicylic acid,Ginkgo biloba,10896468,98159,17026,6.1266642677222,8.61753144213247,469.205907014423,Benzene and substituted derivatives,,Ginkgo biloba may increase the anticoagulant activities of Acetylsalicylic acid.,Moderate,373902,14692,0.00743242881824649,0.189150558126872,0.168839836996914
Male,DB00421,DB00678,2643,Spironolactone,Losartan,451909,3077040,22602,8.5516458569807,11.7761691824366,656.681274894198,Steroids and steroid derivatives,Benzene and substituted derivatives,The risk or severity of adverse effects can be increased when Spironolactone is combined with Losartan.,Major,42452,119097,0.062258550833883,0.0221919947605733,0.248460565605069
Male,DB01120,DB01136,1916,Gliclazide,Carvedilol,1507561,1094573,24025,12.5391440501044,16.3879543133874,441.212387951699,Benzene and substituted derivatives,Indoles and derivatives,Carvedilol may increase the hypoglycemic activities of Gliclazide.,None,71001,38052,0.0269855354149942,0.050352149689898,0.230277864275417
Male,DB00612,DB01016,2883,Bisoprolol,Glyburide,3453335,607098,27742,9.62261533125217,12.2873501959152,598.37112020084,Benzene and substituted derivatives,Benzene and substituted derivatives,Bisoprolol may increase the hypoglycemic activities of Glyburide.,Moderate,161365,38080,0.0178663278901868,0.0757090336134454,0.207551550537926
Male,DB00215,DB01418,3788,Citalopram,Acenocoumarol,1187054,2278071,34047,8.98812038014784,12.0885132886445,908.253958229281,Benzene and substituted derivatives,Coumarins and derivatives,The metabolism of Acenocoumarol can be decreased when combined with Citalopram.,None,111321,100435,0.0340277216338337,0.0377159356797929,0.239771372288617
Male,DB00571,DB00794,266,Propranolol,Primidone,431918,20429,2541,9.55263157894737,14.047596068823,49.8691964337112,Naphthalenes,Diazines,The metabolism of Propranolol can be increased when combined with Primidone.,Moderate,31872,1746,0.00834588353413655,0.152348224513173,0.187478182081621
Male,DB00178,DB00421,1941,Ramipril,Spironolactone,1587217,451909,19208,9.89592993302421,13.9665465155258,577.388807554437,Carboxylic acids and derivatives,Steroids and steroid derivatives,The risk or severity of adverse effects can be increased when Ramipril is combined with Spironolactone.,Major,70029,42452,0.0277170886347085,0.0457222274568925,0.297469761748808
Male,DB00316,DB00682,4383,Acetaminophen,Warfarin,8283157,154725,21051,4.80287474332649,7.14266952388838,707.590849337289,Phenols,Coumarins and derivatives,Acetaminophen may increase the anticoagulant activities of Warfarin.,Minor,1648170,9901,0.0026593130562988,0.442682557317443,0.161439846985464
Male,DB00390,DB00999,2650,Digoxin,Hydrochlorothiazide,381294,3604290,17602,6.6422641509434,9.44905208384213,601.428893885045,Steroids and steroid derivatives,Thiadiazines,The risk or severity of adverse effects can be increased when Hydrochlorothiazide is combined with Digoxin.,Moderate,32281,185680,0.0820916328490443,0.0142718655751831,0.226954299579262
Male,DB00656,DB01418,2286,Trazodone,Acenocoumarol,353491,2278071,12854,5.62292213473316,7.5480360707422,434.833109438798,Diazinanes,Coumarins and derivatives,,None,44939,100435,0.0508689556954983,0.0227609896948275,0.190215708415922
Male,DB00945,DB00959,4522,Acetylsalicylic acid,Methylprednisolone,10896468,137294,14361,3.17580716497125,7.36889739496246,512.338914678573,Benzene and substituted derivatives,Steroids and steroid derivatives,The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Methylprednisolone.,Moderate,373902,48630,0.0120940781274238,0.092987867571458,0.11329918502401
Male,DB00091,DB01015,396,Cyclosporine,Sulfamethoxazole,82747,75195,1288,3.25252525252525,5.72994520811223,100.270039285883,Peptidomimetics,Benzene and substituted derivatives,Sulfamethoxazole may increase the nephrotoxic activities of Cyclosporine.,Major,4013,34796,0.0986792923000249,0.0113806184618922,0.253207169913847
Male,DB01076,DB01241,3886,Atorvastatin,Gemfibrozil,4939299,935789,33553,8.63432835820896,15.2133466144562,729.689382937204,Pyrroles,Phenol ethers,The risk or severity of adverse effects can be increased when Gemfibrozil is combined with Atorvastatin.,Major,209764,64650,0.0185255811292691,0.060108275328693,0.187773901939579
Male,DB00938,DB01136,2134,Salmeterol,Carvedilol,1485384,1094573,22408,10.5004686035614,15.8824724122425,506.772408524475,Benzene and substituted derivatives,Indoles and derivatives,Carvedilol may decrease the vasoconstricting activities of Salmeterol.,Major,107566,38052,0.0198389825781381,0.0560811521076422,0.23747535544727
Male,DB00864,DB01076,2293,Tacrolimus,Atorvastatin,243848,4939299,37942,16.5468818142172,22.5562725650007,610.594571959904,Macrolide lactams,Pyrroles,The risk or severity of adverse effects can be increased when Tacrolimus is combined with Atorvastatin.,Moderate,23554,209764,0.0973507684469729,0.0109313323544555,0.266286337531576
Male,DB00695,DB01050,17031,Furosemide,Ibuprofen,2248494,5273130,38714,2.27314896365451,4.02331221307667,2537.00703724699,Benzene and substituted derivatives,Phenylpropanoic acids,The therapeutic efficacy of Furosemide can be decreased when used in combination with Ibuprofen.,Moderate,171992,1586173,0.0990220475370947,0.01073716423114,0.148964067714579
Male,DB00945,DB01067,1058,Acetylsalicylic acid,Glipizide,10896468,50014,14481,13.687145557656,17.7576304485745,274.898046264516,Benzene and substituted derivatives,Benzene and substituted derivatives,Acetylsalicylic acid may increase the hypoglycemic activities of Glipizide.,Moderate,373902,2818,0.00282961845617301,0.375443577004968,0.259828021043966
Male,DB01076,DB01394,2887,Atorvastatin,Colchicine,4939299,159545,11295,3.91236577762383,7.48509326036313,340.77771881137,Pyrroles,Tropones,The risk or severity of adverse effects can be increased when Colchicine is combined with Atorvastatin.,Major,209764,37843,0.0137630861348945,0.0762888777316809,0.118038697198258
Male,DB00252,DB00338,2603,Phenytoin,Omeprazole,141924,20675857,33412,12.8359585094122,19.65661162524,713.296093675182,Azolidines,Benzimidazoles,The serum concentration of Omeprazole can be decreased when it is combined with Phenytoin.,Moderate,5491,1180390,0.474048442906574,0.00220520336498954,0.274028464723466
Male,DB00472,DB01242,796,Fluoxetine,Clomipramine,463462,246730,8144,10.2311557788945,16.9990553691189,224.938220827594,Benzene and substituted derivatives,Benzazepines,The risk or severity of adverse effects can be increased when Fluoxetine is combined with Clomipramine.,Major,50073,12393,0.015896790685599,0.0642298071491971,0.282585704557279
Male,DB00641,DB01211,8498,Simvastatin,Clarithromycin,11154281,233949,10066,1.18451400329489,0.698076683466931,404.896813321199,Lactones,Organooxygen compounds,The serum concentration of Simvastatin can be increased when it is combined with Clarithromycin.,Major,391184,183952,0.0217237923841466,0.0461968339566843,0.0476461300683924
Male,DB00335,DB01016,1660,Atenolol,Glyburide,1443757,607098,16065,9.67771084337349,12.3718402984206,407.690102111412,Benzene and substituted derivatives,Benzene and substituted derivatives,Atenolol may increase the hypoglycemic activities of Glyburide.,Moderate,72658,38080,0.0228467615403672,0.0435924369747899,0.245596447055068
