Rankp	Strength	Npats	Co-disp. length	Drug.1	Drug.2	RRi.fem	Severity
(890,854)	0.25	  4164	8.65+-10.05	Trazodone	Donepezil	2	Moderate
(36,589)	0.15	    61	1.59+-2.09	Flurazepam	Itraconazole	1.43	None
(42,29)	0.06	     1	1+-NA	Eplerenone	Ketoconazole	0	Major
(469,13)	0.23	    31	4.77+-7.92	Naratriptan	Escitalopram	3.19	Major
(1589,15)	0.16	  3031	6.56+-11.45	Formoterol	Carvedilol	0.56	Major
(1092,34)	0.25	  1225	9.85+-15.21	Carvedilol	Insulin Detemir	0.8	Moderate
(93,16)	0.37	   146	1.71+-3.31	Dihydroergotamine	Rizatriptan	3.06	Major
(44,175)	0.27	     9	6.33+-10.49	Diltiazem	Sirolimus	0.74	Moderate
(16,779)	0.51	    28	1.04+-0.19	Itraconazole	Josamycin	2.79	None
(1192,22)	0.14	    23	9.96+-20.88	Fluvastatin	Bezafibrate	0.26	None
(107,442)	0.12	  3487	2.91+-5.93	Propranolol	Salbutamol	1.18	Major
(120,35)	0.14	   159	1.86+-2.8	Phenytoin	Trimethoprim	0.51	Moderate
(32,264)	0.28	    76	14.5+-16.25	Bupropion	Rasagiline	0.75	Major
(790,20)	0.21	   520	10.12+-14	Bisoprolol	Glipizide	0.72	Moderate
(438,30)	0.36	    17	5.12+-5.27	Fluoxetine	Trimipramine	1.7	Major
(1295,128)	0.16	   145	6.68+-8.11	Atenolol	Insulin Glulisine	0.66	Moderate
(20,22)	0.25	     2	5.5+-0.71	Clodronic acid	Ferrous glycine sulfate	0.93	None
(1394,25)	0.13	    82	3.85+-6.74	Alendronic acid	Flurbiprofen	8.6	Moderate
(717,21)	0.05	    54	1.85+-1.95	Epinephrine	Carvedilol	0.64	Major
(31,23)	0.26	 21954	6.79+-9.25	Amiodarone	Acenocoumarol	0.75	None
(229,23)	0.18	  3537	3.95+-6.4	Digoxin	Diazepam	1.9	Moderate
(117,44)	0.09	    15	1.2+-0.41	Lovastatin	Ketoconazole	1.86	Major
(90,10)	0.29	   220	1.51+-1.52	Sucralfate	Norfloxacin	1.45	Moderate
(168,6)	0.24	   755	9.65+-14.11	Topiramate	Lithium	1.6	Moderate
(221,813)	0.23	  4027	6.2+-6.82	Trazodone	Rivastigmine	1.51	Moderate
(1311,197)	0.14	   117	2.92+-5.74	Formoterol	Nadolol	0.91	Major
(97,8)	0.24	   547	7.47+-10.67	Digoxin	Propafenone	1.63	Moderate
(62,235)	0.19	    26	3.65+-9.97	Fluconazole	Everolimus	0.34	Major
(435,3317)	0.24	    76	2.03+-1.99	Hydrocortisone	Rifampicin	0.61	Moderate
(201,321)	0.36	     4	1.25+-0.5	Phenylephrine	Imipramine	0.93	Major
(66,134)	0.11	    99	1.29+-0.79	Tobramycin	Furosemide	0.74	Major
(47,1368)	0.15	  1161	1.45+-1.29	Fluconazole	Clonazepam	1.99	None
(665,147)	0.16	  1900	4.4+-7.93	Indomethacin	Alendronic acid	5.47	Moderate
(56,245)	0.26	    17	13.06+-18.02	Imipramine	Rasagiline	1.7	Major
(565,29)	0.26	   371	12.01+-17.27	Phenytoin	Sertraline	1.08	Moderate
(145,94)	0.26	   558	10.57+-15.75	Haloperidol	Lithium	0.73	Major
(755,66)	0.16	   144	6.73+-14.32	Carbamazepine	Midazolam	0.68	Moderate
(233,1259)	0.14	    41	2.51+-2.71	Labetalol	Formoterol	8.6	Major
(1002,5236)	0.22	    22	10.32+-12.32	Nortriptyline	Donepezil	1.34	Moderate
(440,60)	0.23	    21	10.33+-11.78	Imipramine	Donepezil	3.95	Moderate
(1445,2)	0.2	  1109	8.21+-14.83	Phenytoin	Diazepam	0.77	Moderate
(620,320)	0.03	     4	1.75+-1.5	Dextromethorphan	Moclobemide	0.31	None
(1322,618)	0.15	  2352	5.4+-9.23	Warfarin	Acetylsalicylic acid	0.43	Major
(61,44)	0.17	   105	4.82+-6.2	Disulfiram	Acenocoumarol	0.18	None
(24,26)	0.17	     1	1+-NA	Phenytoin	Nisoldipine	Inf	Major
(1134,1)	0.2	   837	9.2+-12.34	Atenolol	Insulin Detemir	0.94	Moderate
(324,265)	0.24	    16	4.62+-7.62	Fosinopril	Tizanidine	2.04	Major
(463,25)	0.14	     4	14.5+-15.93	Estradiol	Primidone	2.79	Moderate
(88,8307)	0.33	     1	4+-NA	Cimetidine	Midazolam	0	Moderate
(87,92)	0.26	 17416	7.3+-10.87	Spironolactone	Enalapril	0.85	Major
(28,131)	0.05	  3887	1.32+-1.05	Erythromycin	Simvastatin	1.57	Major
(379,78)	0.21	    22	8+-10.71	Spironolactone	Cilazapril	0.93	None
(82,119)	0.06	    19	1.63+-1.07	Lamotrigine	Rifampicin	0.54	Moderate
(37,97)	0.11	     3	3+-3.46	Morphine	Naltrexone	0	Major
(1046,60)	0.15	   128	5.38+-8.88	Fluvastatin	Colchicine	0.2	Major
(550,1776)	0.2	  4605	6.19+-8.97	Digoxin	Alprazolam	2.28	Moderate
(359,4509)	0.21	    25	7.24+-9.12	Cyclosporine	Phenobarbital	0.36	Moderate
(51,420)	0.31	   618	14.1+-21.54	Lovastatin	Diltiazem	1.22	Major
(49,8)	0.25	   137	6.66+-7.71	Ranolazine	Amiodarone	0.29	Major
(473,297)	0.27	    14	1.29+-0.61	Triamcinolone	Rifampicin	0.93	Moderate
(75,114)	0.05	     1	1+-NA	Carteolol	Glyburide	0	Moderate
(105,1161)	0.26	  1916	12.53+-17.2	Acetylsalicylic acid	Glipizide	0.75	Moderate
(1291,3069)	0.23	   117	11.55+-16.67	Donepezil	Clomipramine	2.95	Moderate
(1468,166)	0.03	     3	1+-0	Cefoxitin	Acenocoumarol	0	None
(325,5)	0.21	   233	5.15+-8.31	Eletriptan	Paroxetine	4.77	Major
(192,63)	0.58	     9	1.33+-1	Aprepitant	Dexamethasone	3.25	Moderate
(577,1164)	0.09	  1023	1.68+-1.37	Phenytoin	Ciprofloxacin	0.66	Moderate
(907,26)	0.24	     1	8+-NA	Sotalol	Clonidine	0	Major
(142,1144)	0.9	     1	9+-NA	Primidone	Felodipine	0	Moderate
(202,10)	0.03	     7	1.29+-0.49	Phenytoin	Fluorouracil	0.37	Moderate
(102,340)	0.09	     4	1.75+-0.96	Imipramine	Moclobemide	0.93	None
(155,163)	0.17	   107	5.3+-10.54	Sumatriptan	Lithium	0.45	None
(34,8)	0.48	     3	1+-0	Isoniazid	Ketoconazole	0	Moderate
(512,69)	0.08	 22709	2.41+-4.21	Ibuprofen	Acenocoumarol	0.94	None
(1777,66)	0.38	     2	7.5+-9.19	Rifamycin	Itraconazole	0.93	None
(498,40)	0.14	   240	7.85+-13.72	Omeprazole	Quazepam	2.21	Moderate
(370,19)	0.19	   135	6.61+-10.51	Eletriptan	Sertraline	8.03	Major
(1019,6)	0.06	    12	1+-0	Phenytoin	Mebendazole	0.31	Moderate
(1263,320)	0.16	    60	4.17+-6.21	Galantamine	Biperiden	1.22	Moderate
(867,2172)	0.37	   406	1.16+-0.77	Sucralfate	Levofloxacin	0.83	Moderate
(153,683)	0.26	   720	1.47+-1.87	Ranitidine	Itraconazole	1.32	Moderate
(1151,14)	0.24	   143	7.98+-11.45	Biperiden	Donepezil	2.16	Moderate
(269,14)	0.43	     4	1+-0	Haloperidol	Atropine	2.79	Moderate
(178,84)	0.06	     3	1.33+-0.58	Imipramine	Epinephrine	Inf	Major
(1584,3887)	0.21	    77	6.43+-6.01	Glycopyrronium	Rivastigmine	0.24	None
(172,134)	0.15	    23	1.65+-2.92	Fluvoxamine	Tizanidine	2.12	Major
(163,80)	0.08	  6392	1.58+-1.16	Methotrexate	Amoxicillin	1.59	Major
(124,36)	0.06	   398	1.44+-1.63	Simvastatin	Ketoconazole	0.96	Major
(952,43)	0.17	  1158	5.49+-10.42	Paroxetine	Rizatriptan	6.49	Major
(1242,50)	0.18	   283	7.47+-11.24	Carvedilol	Insulin Glulisine	0.41	Moderate
(57,1639)	0.11	   683	1.27+-0.88	Erythromycin	Fluoxetine	5	Moderate
(108,74)	0.14	    19	5.42+-6.51	Norethisterone	Phenobarbital	7.9	Major
(113,2)	0.15	     8	6.62+-6.91	Fluvoxamine	Rasagiline	0.93	Major
(39,8)	0.07	   154	2+-3.05	Minocycline	Acenocoumarol	0.66	None
(392,191)	0.25	    36	2.17+-3.06	Dihydroergotamine	Nadolol	4.65	Moderate
(67,408)	0.18	    12	8.67+-12.48	Cyclosporine	Oxcarbazepine	0.46	Moderate
(81,26)	0.12	     5	2.6+-3.05	Acetaminophen	Imatinib	3.72	Moderate
(85,27)	0.25	    16	8.19+-14.74	Diltiazem	Triazolam	1.55	Moderate
(151,1464)	0.07	     2	1+-0	Amikacin	Bumetanide	Inf	Major
(237,4)	0.16	  2363	6.79+-10.27	Omeprazole	Halazepam	2.19	Moderate
(96,744)	0.04	     7	1+-0	Warfarin	Tetracycline	0.7	Moderate
(38,178)	0.16	    62	2.66+-4.91	Theophylline	Propranolol	0.87	Major
(68,882)	0.08	  1399	1.35+-1.09	Ciprofloxacin	Methotrexate	1.27	Moderate
(490,30)	0.05	     4	2.75+-2.87	Cimetidine	Carbamazepine	0.93	Moderate
(166,150)	0.12	    12	5.08+-6.75	Donepezil	Perphenazine	1.3	Moderate
(228,7)	0.24	   180	9.74+-17.57	Metoprolol	Sertraline	1.73	Moderate
(95,310)	0.05	    53	2.17+-4.48	Phenytoin	Triamcinolone	0.83	Moderate
(101,45)	0.09	     6	2.83+-4.49	Clemastine	Rivastigmine	0.93	Moderate
(48,977)	0.22	   254	9.27+-14.63	Phenytoin	Mirtazapine	0.97	Moderate
(989,2)	0.23	   308	8.53+-12.98	Spironolactone	Eprosartan	1.09	Major
(58,52)	0.22	   230	7.95+-10.75	Sertraline	Cilostazol	0.41	Moderate
(268,1395)	0.16	  1275	4.94+-9.61	Citalopram	Rizatriptan	6.43	Major
(1072,5)	0.06	    11	1.73+-2.1	Fluorouracil	Warfarin	0.53	Major
(73,625)	0.13	     6	1.17+-0.41	Flutamide	Warfarin	0	Moderate
(280,9536)	0.12	  5377	3.42+-5.79	Methotrexate	Ibuprofen	1.91	Major
(1560,16)	0.85	     9	1+-0	Doxycycline	Benzylpenicillin	0.46	Moderate
(1241,10)	1	     1	1+-NA	Amikacin	Ceftriaxone	0	Moderate
(183,18)	0.07	   110	2.45+-4.41	Lithium	Etoricoxib	1.5	None
(424,235)	0.48	    44	1.57+-1.13	Fluconazole	Cyclophosphamide	1.22	None
(60,2)	0.15	  1732	4.39+-8.22	Repaglinide	Glyburide	0.83	None
(963,87)	0.1	  3120	1.39+-1.17	Duloxetine	Ciprofloxacin	2.2	Major
(106,146)	0.26	   802	11.32+-14.27	Citalopram	Rasagiline	1.15	Major
(223,37)	0.25	   261	12.9+-22.62	Propranolol	Phenobarbital	1.04	Moderate
(40,106)	0.34	     3	1.33+-0.58	Dihydroergotamine	Labetalol	Inf	Moderate
(114,4)	0.2	   259	1.27+-1.29	Tacrolimus	Metronidazole	0.98	Moderate
(127,98)	0.14	   146	2.75+-4.5	Trospium	Ipratropium	1.45	Moderate
(1469,6)	0.14	    90	5.14+-9.36	Nabumetone	Methotrexate	2.17	Major
(284,46)	0.23	  4509	1.36+-2.04	Fluconazole	Diazepam	2.6	Moderate
(676,47)	0.03	     2	1+-0	Ampicillin	Warfarin	0	Moderate
(115,3)	0.19	    20	1.2+-0.62	Trospium	Cyclobenzaprine	17.66	Moderate
(497,31)	0.29	   151	15.42+-23.15	Sulfasalazine	Azathioprine	1.3	Moderate
(314,99)	0.11	    45	4.09+-9.13	Nabumetone	Warfarin	1.68	Major
(190,7)	0.15	    41	4+-5.52	Entacapone	Apomorphine	0.73	Moderate
(736,21)	0.3	    69	12.84+-16.06	Clozapine	Sertraline	0.5	Major
(1277,2)	0.2	     8	2.88+-3.8	Galantamine	Zuclopenthixol	1.55	None
(297,61)	0.03	    19	1.37+-0.68	Phenytoin	Betamethasone	2.01	Moderate
(86,5)	0.22	  1404	4.24+-6.91	Fentanyl	Amiodarone	1.68	Major
(76,20)	0.15	    69	7.32+-13.95	Ergotamine	Carvedilol	1.28	Moderate
(892,7)	0.38	    20	5.85+-7.73	Atenolol	Chlorpropamide	1.73	Moderate
(249,7)	0.31	  1460	2.43+-4.16	Sucralfate	Lansoprazole	1.6	Moderate
(606,31)	0.17	    11	1.18+-0.4	Nortriptyline	Pseudoephedrine	2.48	None
(685,3)	0.42	    16	11.69+-25.15	Propranolol	Clonidine	0.21	Major
(376,3)	0.08	    11	2.82+-4.31	Salbutamol	Moclobemide	2.48	None
(996,52)	0.19	   257	4.75+-7.23	Donepezil	Methotrimeprazine	2.02	Moderate
(149,118)	0.16	    66	2.02+-1.8	Capecitabine	Acenocoumarol	0.87	None
(385,40)	0.24	    55	1.82+-2.05	Midazolam	Itraconazole	1.91	Major
(562,2)	0.16	   156	4.8+-6.88	Eletriptan	Escitalopram	11.15	Major
(52,5)	0.06	   153	1.35+-1.12	Fluorouracil	Acenocoumarol	0.45	None
(54,136)	0.21	  1415	10.15+-13.85	Propranolol	Gliclazide	0.82	None
(671,21)	0.24	    70	5.34+-6.68	Paroxetine	Selegiline	1.48	Major
(46,84)	0.21	  2127	9.17+-14.35	Carvedilol	Insulin Aspart	0.56	Moderate
(196,154)	0.12	    13	4+-4.26	Donepezil	Zuclopenthixol	1.49	None
(750,122)	0.27	  3432	11.52+-16.81	Citalopram	Carvedilol	1.35	Moderate
(53,968)	0.04	     2	1+-0	Trospium	Clemastine	0.93	Moderate
(69,21795)	0.18	   275	5.93+-11.86	Imipramine	Duloxetine	2.15	Major
(670,186)	0.15	 11088	4.27+-8.27	Tramadol	Fluoxetine	5.26	Major
(310,243)	0.12	    52	2.79+-3.51	Omeprazole	Chlordiazepoxide	2.79	Moderate
(290,1193)	0.23	   159	9.14+-12.67	Fluoxetine	Rasagiline	1.07	Major
(1320,66)	0.28	   133	10.26+-18.79	Diltiazem	Midazolam	1	Moderate
(1632,1136)	0.17	    22	8.36+-12.81	Colestipol	Digoxin	0.53	Moderate
(133,4105)	0.31	  9217	14.94+-20.53	Fenofibrate	Atorvastatin	0.36	Major
(303,774)	0.19	     2	2+-1.41	Alprazolam	Aprepitant	0.93	Moderate
(125,803)	0.28	    40	4.2+-9.53	Trospium	Oxybutynin	1.03	Moderate
(70,513)	0.55	   220	1.04+-0.22	Minocycline	Cloxacillin	0.73	Moderate
(147,37)	0.36	    47	14.96+-25.58	Nifedipine	Phenobarbital	1.37	Major
(903,1275)	0.24	  1331	9.02+-14.42	Spironolactone	Irbesartan	0.97	Major
(212,88)	0.24	  2018	13.13+-18.85	Carbamazepine	Atorvastatin	0.91	Moderate
(831,100)	0.21	   870	7.2+-11.16	Oxycodone	Sertraline	2.85	Moderate
(296,69)	0.18	    16	8.94+-11.1	Mercaptopurine	Acenocoumarol	0.21	None
(137,3432)	0.13	    42	2.38+-2.66	Piroxicam	Carvedilol	0.77	Moderate
(539,13)	0.25	  1725	8.16+-9	Mirtazapine	Rivastigmine	2.12	Moderate
(63,5883)	0.28	     7	1.57+-1.13	Trospium	Potassium chloride	1.24	Major
(262,241)	0.21	    64	10.12+-18.9	Estradiol	Ursodeoxycholic acid	10.97	None
(1232,802)	0.08	   720	1.18+-0.9	Repaglinide	Clarithromycin	1.03	Moderate
(65,10373)	0.09	    15	6.6+-18.73	Trandolapril	Tizanidine	1.06	Major
(148,153)	0.07	 13841	1.51+-1.35	Levofloxacin	Acenocoumarol	0.74	None
(1285,19)	0.24	    95	1.11+-0.55	Doxycycline	Isotretinoin	0.65	Major
(122,135)	0.12	  3359	4.43+-8.22	Atenolol	Formoterol	0.81	Moderate
(891,56)	0.2	167507	9.83+-17.41	Omeprazole	Alprazolam	2.13	Moderate
(924,233)	0.22	 11065	9.08+-10.5	Levothyroxine	Acenocoumarol	2.41	None
(1078,135)	0.1	   173	4.46+-10.61	Hydrocortisone	Phenobarbital	0.94	Moderate
(71,33)	0.23	   409	10.4+-13.94	Paroxetine	Rasagiline	1.35	Major
(126,156)	0.24	    20	6.9+-12.38	Clozapine	Carbamazepine	0.62	Major
(207,85)	0.41	  3437	14.04+-20.58	Haloperidol	Biperiden	0.71	Moderate
(1391,41)	0.07	    55	2.05+-4.95	Phenytoin	Doxycycline	0.45	Moderate
(687,110)	0.14	   273	3.39+-5.68	Hydroxyzine	Rivastigmine	1.53	Moderate
(1004,47)	0.18	   297	1.6+-1.82	Fluconazole	Tolterodine	1.58	Moderate
(336,280)	0.19	    34	3.35+-8.68	Primidone	Methylprednisolone aceponate	0.65	Moderate
(601,794)	0.21	     6	1+-0	Atomoxetine	Terbinafine	0.46	Moderate
(1716,57)	0.24	    92	8.98+-15.51	Carbamazepine	Oxybutynin	1.32	None
(591,3465)	0.44	   272	1.11+-0.63	Thiethylperazine	Levofloxacin	1.29	None
(505,510)	0.2	  9631	8.24+-12.24	Bisoprolol	Salmeterol	0.59	Moderate
(639,971)	0.17	     9	5.78+-4.82	Galantamine	Perphenazine	1.86	Moderate
(382,898)	0.17	     1	1+-NA	Ranolazine	Disopyramide	0	Major
(1074,13)	0.24	   714	9.27+-15.88	Phenytoin	Alprazolam	1.27	Moderate
(1509,23)	0.4	    14	3.14+-3.7	Cyclosporine	Danazol	0.93	Moderate
(595,1112)	0.2	     1	1+-NA	Phenytoin	Aprepitant	0	Moderate
(714,245)	0.04	     5	2+-1.41	Irbesartan	Drospirenone	1.39	Moderate
(119,618)	0.25	     5	2.4+-1.67	Rivastigmine	Flavoxate	1.39	Moderate
(309,162)	0.14	   129	6.41+-10.4	Colestipol	Levothyroxine	2.6	Moderate
(925,4)	0.31	  1257	6.88+-13.6	Amitriptyline	Carbamazepine	1.7	Moderate
(1395,288)	0.19	   652	8.35+-11.75	Warfarin	Ranitidine	0.8	Moderate
(72,132)	0.13	     2	1+-0	Trospium	Levocabastine	0.93	None
(482,105)	0.14	    49	1.14+-0.35	Trazodone	Ketoconazole	1.35	Moderate
(134,1)	0.13	   561	1.5+-1.39	Clonazepam	Itraconazole	1.79	None
(544,15)	0.19	    98	5.18+-7.52	Duloxetine	Propafenone	2.71	Moderate
(80,192)	0.06	    55	1.71+-3.54	Metoprolol	Terbutaline	0.9	Moderate
(531,31)	0.2	    10	9.2+-15.7	Trandolapril	Lithium	0.62	Moderate
(64,152)	0.06	     2	1+-0	Pramipexole	Cimetidine	0	Moderate
(301,613)	0.12	   988	4.02+-6.64	Tramadol	Rasagiline	1.15	Major
(734,251)	0.06	   977	1.36+-1.11	Erythromycin	Acenocoumarol	1.26	None
(525,28)	0.13	    78	1.81+-1.17	Rifampicin	Leflunomide	1.27	Major
(279,25)	0.61	     5	1+-0	Amikacin	Cefonicid	Inf	Moderate
(110,141)	0.22	  1093	1.28+-1.04	Doxycycline	Ethinylestradiol	1014.98	Moderate
(537,2)	0.22	   168	9.53+-14.01	Leflunomide	Acenocoumarol	1.24	None
(962,1197)	0.07	   104	1.51+-1.58	Atenolol	Epinephrine	1.13	Moderate
(144,109)	0.11	    45	1.31+-1	Ranolazine	Clarithromycin	0.46	Major
(232,350)	0.04	    20	1.15+-0.49	Betamethasone	Phenobarbital	0.76	Moderate
(200,1)	0.19	   774	1.73+-1.83	Theophylline	Ciprofloxacin	0.39	Major
(1262,283)	0.19	  1265	6.45+-11.26	Spironolactone	Lisinopril	0.83	Major
(132,60)	0.19	   363	7.76+-9.58	Warfarin	Propafenone	1.37	Moderate
(1063,8)	0.1	    16	2.19+-2.48	Methotrexate	Ketoprofen	0.93	Major
(604,1031)	0.17	   112	1.07+-0.26	Disulfiram	Metronidazole	0.41	Major
(1228,20)	0.26	    66	8.09+-12.17	Warfarin	Azathioprine	1.19	Moderate
(321,137)	0.56	     3	3.67+-4.62	Chlorpromazine	Bromocriptine	Inf	Moderate
(719,8)	0.17	   200	9.47+-15.7	Testosterone	Acenocoumarol	0.03	None
(92,45)	0.26	    20	12.3+-19.19	Phenytoin	Flurazepam	0.93	Moderate
(625,3176)	0.28	   591	11.29+-15.6	Phenytoin	Acenocoumarol	0.72	None
(206,218)	0.1	     7	3.29+-2.14	Clozapine	Flurazepam	0.37	Major
(939,10)	0.22	   182	4.96+-9.41	Propranolol	Verapamil	1.21	Major
(973,5)	0.3	   381	7.85+-11.61	Imipramine	Fluoxetine	1.97	Major
(176,55)	0.26	  2218	5.51+-7.81	Warfarin	Amiodarone	0.68	Major
(313,268)	0.15	   788	2.19+-4.13	Amitriptyline	Terbutaline	3.3	Moderate
(767,41)	0.07	  1041	1.62+-1.67	Ciprofloxacin	Rasagiline	0.58	Major
(226,4869)	0.16	   140	1.35+-0.79	Amitriptyline	Epinephrine	4.99	Major
(1332,116)	0.15	   143	7.71+-9.63	Lisinopril	Lithium	0.8	Moderate
(311,2)	0.04	     2	1+-0	Warfarin	Mefenamic acid	0	Major
(1779,4)	0.15	  1193	4.87+-8.95	Citalopram	Zolmitriptan	5.75	Major
(219,37)	0.17	   612	8.07+-14.27	Omeprazole	Triazolam	1.94	Moderate
(177,254)	0.38	   444	2.16+-3.4	Phenytoin	Dexamethasone	0.59	Moderate
(181,714)	0.26	     2	3.5+-2.12	Haloperidol	Rifamycin	Inf	None
(83,159)	0.25	    36	9+-12.07	Clozapine	Lamotrigine	0.83	Moderate
(576,19)	0.12	  2897	1.23+-1.04	Fluoxetine	Dextromethorphan	3.98	Major
(980,271)	0.1	   321	2.26+-5.62	Ramipril	Tizanidine	0.9	Major
(91,3)	0.15	    15	7.13+-10.14	Labetalol	Glyburide	0.34	Moderate
(348,1023)	0.17	     1	1+-NA	Amikacin	Cefotaxime	Inf	Moderate
